# nthreads  avg_rate       rms
      4         15.7        1.0
      8         30.9        1.5
     12         46.2        1.8
     16         61.6        1.8
     20         77.4        2.5
     24         92.4        2.0
     28        108.0        2.3
     32        124.0        2.7
     36        138.9        4.2
     40        154.2        3.0
     44        169.7        2.2
     48        184.6        3.5
     52        201.1        3.2
     56        215.5        2.5
     60        231.8        3.6
     64        248.2        3.7
     68        262.1        4.3
     72        276.8        4.0
     76        291.8        3.7
     80        307.9        3.1
     84        322.4        3.2
     88        337.1        4.1
     92        351.8        5.2
     96        368.7        4.8
    100        383.0        3.5
    104        397.8        2.3
    108        412.2        5.0
    112        428.3        3.5
    116        443.8        4.8
    120        458.5        3.8
    124        472.8        4.6
    128        487.5        4.8
    132        502.7        4.6
    136        518.2        6.8
    140        530.1        7.4
    144        544.8        3.4
    148        557.5        4.0
    152        513.9       31.1
    156        543.5        7.7
    160        534.8       14.2
    164        517.5       25.6
    168        526.1       21.8
    172        503.1       38.5
    176        532.4       16.7
    180        500.5       39.9
    184        522.3       38.9
    188        511.1       43.7
    192        521.2       46.4
    196        510.4       32.2
    200        514.2       43.4
    204        476.4       43.8
    208        483.4       42.5
    212        462.8       25.7
    216        458.1       18.1
    220        481.2       50.7
    224        481.3       39.3
    228        497.1       45.6
    232        496.7       50.8
    236        511.6       46.2
    240        482.2       35.1
    244        481.8       37.3
    248        478.1       42.5
    252        453.4       24.3
    256        473.3       28.3
    260        468.9       37.1
    264        505.0       45.3
    268        462.2       37.5
    272        463.7       19.5
