# nthreads     rate
      4         16.5
      4         16.0
      4         17.0
      4         15.0
      4         17.0
      4         17.0
      4         15.0
      4         15.0
      4         16.0
      4         16.0
      4         16.0
      4         16.0
      4         17.0
      4         14.0
      4         15.0
      8         32.0
      8         32.0
      8         31.0
      8         33.0
      8         30.0
      8         31.0
      8         33.0
      8         29.0
      8         32.0
      8         31.0
      8         32.0
      8         31.0
      8         33.0
      8         30.0
      8         34.0
     12         47.0
     12         48.0
     12         47.0
     12         48.0
     12         48.0
     12         49.0
     12         48.0
     12         46.0
     12         49.0
     12         44.0
     12         49.0
     12         50.0
     12         46.0
     12         49.0
     12         46.0
     16         63.9
     16         62.0
     16         65.0
     16         62.0
     16         64.0
     16         64.0
     16         65.0
     16         63.0
     16         60.0
     16         65.0
     16         61.0
     16         67.0
     16         62.0
     16         63.0
     16         65.0
     20         78.4
     20         80.0
     20         76.0
     20         79.0
     20         80.0
     20         80.0
     20         78.0
     20         78.0
     20         80.0
     20         80.0
     20         78.0
     20         78.0
     20         78.0
     20         80.0
     20         79.0
     24         97.9
     24         95.0
     24         95.0
     24         92.0
     24         96.0
     24         99.0
     24         90.0
     24         97.0
     24         93.0
     24         96.0
     24         98.0
     24         92.0
     24         98.0
     24         95.0
     24         92.0
     28        111.4
     28        112.0
     28        106.0
     28        112.0
     28        114.0
     28        112.0
     28        112.0
     28        111.0
     28        110.0
     28        111.0
     28        110.0
     28        111.0
     28        110.0
     28        111.0
     28        111.0
     32        124.4
     32        131.0
     32        127.0
     32        128.0
     32        124.0
     32        125.0
     32        125.0
     32        129.0
     32        127.0
     32        126.0
     32        127.0
     32        127.0
     32        127.0
     32        126.0
     32        125.0
     36        145.9
     36        139.0
     36        144.0
     36        140.0
     36        142.0
     36        142.0
     36        144.0
     36        142.0
     36        144.0
     36        139.0
     36        143.0
     36        136.0
     36        144.0
     36        144.0
     36        143.0
     40        158.8
     40        156.0
     40        158.0
     40        156.0
     40        159.0
     40        157.0
     40        160.0
     40        156.0
     40        157.0
     40        157.0
     40        162.0
     40        157.0
     40        159.0
     40        157.0
     40        160.0
     44        173.4
     44        176.0
     44        171.0
     44        177.0
     44        170.0
     44        175.0
     44        172.0
     44        174.0
     44        170.0
     44        176.0
     44        172.0
     44        177.0
     44        176.0
     44        171.0
     44        176.0
     48        187.8
     48        190.0
     48        184.0
     48        196.0
     48        185.0
     48        191.0
     48        186.0
     48        193.0
     48        188.0
     48        192.0
     48        194.0
     48        191.0
     48        184.0
     48        191.0
     48        189.0
     52        208.3
     52        206.9
     52        201.0
     52        206.0
     52        209.0
     52        199.9
     52        207.0
     52        204.0
     52        202.0
     52        204.0
     52        203.0
     52        206.0
     52        202.0
     52        208.0
     52        200.0
     56        225.8
     56        214.9
     56        228.9
     56        216.0
     56        218.9
     56        219.9
     56        219.9
     56        222.9
     56        217.9
     56        223.9
     56        218.9
     56        223.9
     56        222.9
     56        224.9
     56        219.9
     60        237.3
     60        242.9
     60        229.9
     60        237.9
     60        228.9
     60        238.9
     60        234.0
     60        230.9
     60        242.9
     60        239.9
     60        239.9
     60        235.9
     60        233.9
     60        237.9
     60        233.9
     64        255.3
     64        247.0
     64        250.0
     64        255.0
     64        250.0
     64        258.0
     64        254.0
     64        254.0
     64        253.0
     64        250.0
     64        256.0
     64        258.0
     64        250.0
     64        252.9
     64        254.0
     68        266.8
     68        272.0
     68        269.0
     68        268.0
     68        271.9
     68        271.9
     68        268.9
     68        264.0
     68        272.9
     68        272.9
     68        270.9
     68        265.0
     68        266.0
     68        265.9
     68        270.0
     72        283.2
     72        282.8
     72        288.8
     72        278.8
     72        286.8
     72        275.8
