# nthreads  avg_rate       rms
      4         16.3        0.6
      8         33.1        1.6
     12         49.3        1.6
     16         65.9        2.2
     20         81.8        1.1
     24         98.4        2.2
     28        115.1        3.5
     32        131.7        2.2
     36        147.6        4.2
     40        163.7        2.5
     44        179.9        2.2
     48        195.5        3.7
     52        212.1        4.2
     56        228.7        1.9
     60        245.5        2.9
     64        261.1        3.8
     68        277.7        4.4
     72        294.0        4.2
     76        309.5        3.3
     80        325.6        5.3
     84        340.7        3.4
     88        355.5        3.4
