# nthreads     rate
      2         42.3
      2          8.0
      2          9.0
      2          8.0
      2         10.0
      2          7.0
      2         10.0
      2          6.0
      2          8.0
      2          9.0
      2          8.0
      2          8.0
      2          9.0
      2          8.0
      2          7.0
      4         15.5
      4         19.0
      4         15.0
      4         19.0
      4         16.0
      4         16.0
      4         17.0
      4         17.0
      4         16.0
      4         17.0
      4         17.0
      4         16.0
      4         17.0
      4         17.0
      4         16.0
      6         24.0
      6         25.0
      6         24.0
      6         24.0
      6         24.0
      6         24.0
      6         27.0
      6         24.0
      6         25.0
      6         24.0
      6         26.0
      6         25.0
      6         25.0
      6         24.0
      6         27.0
      8         30.5
      8         35.0
      8         32.0
      8         33.0
      8         35.0
      8         34.0
      8         32.0
      8         33.0
      8         33.0
      8         32.0
      8         33.0
      8         33.0
      8         35.0
      8         34.0
      8         31.0
     10         38.5
     10         41.0
     10         41.0
     10         42.0
     10         39.0
     10         42.0
     10         42.0
     10         40.0
     10         43.0
     10         39.0
     10         43.0
     10         39.0
     10         42.0
     10         43.0
     10         41.0
     12         48.5
     12         51.0
     12         50.0
     12         50.0
     12         47.0
     12         51.0
     12         50.0
     12         50.0
     12         50.0
     12         48.0
     12         50.0
     12         48.0
     12         50.0
     12         48.0
     12         50.0
     14         57.5
     14         58.0
     14         58.0
     14         58.0
     14         58.0
     14         56.0
     14         57.0
     14         61.0
     14         56.0
     14         59.0
     14         57.0
     14         58.0
     14         56.0
     14         56.0
     14         59.0
     16         64.5
     16         67.0
     16         67.0
     16         66.0
     16         66.0
     16         68.0
     16         64.0
     16         67.0
     16         65.0
     16         64.0
     16         70.0
     16         65.0
     16         65.0
     16         66.0
     16         66.0
     18         74.5
     18         73.0
     18         73.0
     18         73.0
     18         76.0
     18         75.0
     18         77.0
     18         73.0
     18         73.0
     18         74.0
     18         72.0
     18         75.0
     18         71.0
     18         77.0
     18         71.0
     20         82.0
     20         83.0
     20         83.0
     20         83.0
     20         81.0
     20         85.0
     20         82.0
     20         82.0
     20         80.0
     20         81.0
     20         84.0
     20         82.0
     20         84.0
     20         83.0
     20         80.0
     22         86.5
     22         88.0
     22         91.0
     22         97.0
     22         89.0
     22         88.0
     22         90.0
     22         88.0
     22         90.0
     22         93.0
     22         91.0
     22         89.0
     22         90.0
     22         97.0
     22         86.0
     24         97.5
     24         99.0
     24         96.0
     24        102.0
     24         99.0
     24         98.0
     24         96.0
     24        103.0
     24         96.0
     24        102.0
     24         98.0
     24        100.0
     24         98.0
     24         93.0
     24        101.9
     26        107.5
     26        106.0
     26        105.0
     26        107.0
     26        108.0
     26        103.0
     26        106.9
     26        105.9
     26        108.0
     26        107.9
     26        107.0
     26        108.9
     26        104.0
     26        105.9
     26        108.9
     28        115.0
     28        116.9
     28        110.9
     28        114.9
     28        116.9
     28        111.9
     28        117.9
     28        118.9
     28        114.9
     28        115.9
     28        113.9
     28        105.0
     28        120.9
     28        115.9
     28        115.9
     30        120.5
     30        125.9
     30        122.9
     30        122.9
     30        125.9
     30        117.9
     30        123.9
     30        122.9
     30        126.9
     30        123.9
     30        118.9
     30        119.9
     30        123.9
     30        128.9
     30        121.9
     32        130.4
     32        127.9
     32        135.9
     32        128.9
     32        131.9
     32        130.9
     32        131.9
     32        137.9
     32        128.9
     32        128.9
     32        133.9
     32        130.9
     32        134.9
     32        130.9
     32        130.9
     34        139.9
     34        140.9
     34        138.9
     34        139.9
     34        134.9
     34        138.9
     34        138.9
     34        141.9
     34        138.9
     34        139.9
     34        136.9
     34        136.9
     34        141.9
     34        141.9
     34        141.9
     36        146.4
     36        149.0
     36        142.0
     36        156.0
     36        144.0
     36        148.0
     36        147.0
     36        152.0
     36        143.0
     36        147.0
     36        149.0
     36        150.0
     36        146.0
     36        149.0
     36        147.0
     38        156.0
     38        153.0
     38        157.0
     38        152.0
     38        162.0
     38        151.0
     38        159.0
     38        160.0
     38        154.0
     38        158.0
     38        156.0
     38        157.0
     38        156.0
     38        151.0
     38        155.0
     40        165.5
     40        163.0
     40        165.0
     40        162.0
     40        166.0
     40        168.0
     40        164.9
     40        159.0
     40        160.0
     40        168.0
     40        164.0
     40        166.9
     40        167.0
     40        161.0
     40        165.0
     42        170.0
     42        166.0
     42        173.0
     42        171.0
     42        173.0
     42        175.0
     42        171.9
     42        171.0
     42        173.0
     42        170.0
     42        174.0
     42        174.9
     42        169.0
     42        179.0
     42        174.0
     44        178.5
     44        180.0
     44        182.0
     44        176.0
     44        184.9
     44        180.0
     44        179.9
     44        177.9
     44        183.0
     44        180.0
     44        182.9
     44        175.9
     44        178.9
     44        176.0
     44        180.0
     46        188.5
     46        186.9
     46        191.9
     46        187.9
     46        185.9
     46        190.0
     46        187.9
     46        188.9
     46        185.9
     46        192.9
     46        189.0
     46        185.9
     46        191.0
     46        190.0
     46        190.0
     48        194.5
     48        197.9
     48        194.0
     48        193.0
     48        197.0
     48        198.0
     48        199.7
     48        190.8
     48        196.8
     48        195.8
     48        197.0
     48        194.0
     48        201.0
     48        193.0
     48        201.0
