# nthreads     rate
      4         49.0
      4         17.0
      4         16.0
      4         16.0
      4         16.0
      4         17.0
      4         18.0
      4         16.0
      4         16.0
      4         18.0
      4         16.0
      4         18.0
      4         16.0
      4         16.0
      4         16.0
      8         33.0
      8         33.0
      8         33.0
      8         32.0
      8         34.0
      8         33.0
      8         32.0
      8         33.0
      8         35.0
      8         32.0
      8         32.0
      8         35.0
      8         33.0
      8         33.0
      8         31.0
     12         48.0
     12         52.0
     12         48.0
     12         49.0
     12         51.0
     12         50.0
     12         49.0
     12         45.0
     12         51.0
     12         54.0
     12         47.0
     12         50.0
     12         45.0
     12         50.0
     12         51.0
     16         64.0
     16         68.0
     16         64.0
     16         68.0
     16         66.0
     16         68.0
     16         66.0
     16         66.0
     16         65.0
     16         66.0
     16         67.0
     16         67.0
     16         66.0
     16         67.0
     16         65.0
     20         79.5
     20         85.0
     20         80.0
     20         87.0
     20         79.0
     20         87.0
     20         80.0
     20         81.0
     20         82.0
     20         87.0
     20         81.0
     20         85.0
     20         83.0
     20         82.0
     20         83.0
     24         97.0
     24        102.0
     24        100.0
     24         96.0
     24         99.0
     24        102.0
     24         95.0
     24         99.0
     24         98.0
     24        103.0
     24         99.0
     24         97.0
     24        104.0
     24         95.0
     24         99.0
     28        114.5
     28        113.9
     28        115.0
     28        118.9
     28        115.0
     28        112.0
     28        114.9
     28        117.9
     28        114.9
     28        113.0
     28        117.9
     28        113.9
     28        116.9
     28        112.0
     28        115.9
     32        131.9
     32        132.9
     32        128.9
     32        134.9
     32        131.9
     32        133.9
     32        128.9
     32        135.0
     32        133.9
     32        128.9
     32        128.9
     32        131.9
     32        133.9
     32        132.9
     32        135.9
     36        145.4
     36        144.9
     36        149.9
     36        143.9
     36        146.9
     36        151.9
     36        145.9
     36        149.9
     36        146.9
     36        140.9
     36        148.9
     36        145.9
     36        147.9
     36        147.9
     36        144.9
     40        164.4
     40        166.0
     40        169.0
     40        167.0
     40        160.0
     40        169.0
     40        167.0
     40        167.0
     40        157.0
     40        166.0
     40        167.0
     40        169.0
     40        162.0
     40        161.0
     40        162.0
     44        180.0
     44        184.0
     44        181.0
     44        180.0
     44        179.0
     44        184.0
     44        181.0
     44        178.0
     44        178.0
     44        187.0
     44        179.0
     44        182.0
     44        180.0
     44        183.0
     44        183.0
     48        192.5
     48        200.0
     48        203.0
     48        192.0
     48        198.0
     48        202.0
     48        196.0
     48        197.6
     48        191.8
     48        199.8
     48        192.8
     48        199.8
     48        194.4
     48        196.8
     48        195.6
     52        211.5
     52        223.0
     52        211.0
     52        208.0
     52        218.0
     52        217.0
     52        210.0
     52        212.9
     52        219.9
     52        214.0
     52        214.9
     52        211.0
     52        213.9
     52        213.0
     52        212.9
     56        228.9
     56        228.9
     56        221.9
     56        230.9
     56        230.9
     56        228.9
     56        227.9
     56        230.9
     56        227.9
     56        233.9
     56        228.9
     56        228.9
     56        221.8
     56        233.8
     56        225.8
     60        246.9
     60        246.8
     60        241.8
     60        251.7
     60        242.8
     60        248.8
     60        243.8
     60        251.7
     60        242.8
     60        247.8
     60        245.8
     60        247.8
     60        244.8
     60        246.8
     60        250.7
     64        256.7
     64        268.7
     64        263.7
     64        265.7
     64        257.7
     64        263.7
     64        261.7
     64        256.7
     64        266.7
     64        262.7
     64        262.7
     64        261.7
     64        265.7
     64        262.9
     64        261.9
     68        277.9
     68        277.9
     68        272.9
     68        283.9
     68        280.9
     68        278.9
     68        279.9
     68        277.9
     68        280.9
     68        274.9
     68        282.9
     68        275.9
     68        277.9
     68        284.9
     68        274.9
     72        295.7
     72        290.7
     72        293.7
     72        297.7
     72        297.7
     72        297.7
     72        295.7
     72        294.7
     72        293.7
     72        303.7
     72        288.7
     72        298.7
     72        298.7
     72        288.7
     72        301.7
     76        309.4
     76        303.7
     76        312.7
     76        314.5
     76        309.7
     76        311.7
     76        307.7
     76        307.7
     76        311.7
     76        314.7
     76        308.7
     76        307.7
     76        317.7
     76        311.7
     76        312.7
     80        326.0
     80        326.7
     80        313.7
     80        332.7
     80        326.7
     80        332.7
     80        326.7
     80        326.7
     80        324.7
     80        334.7
     80        329.7
     80        328.7
     80        326.7
     80        334.7
     80        324.7
