# nthreads  avg_rate       rms
      4         16.5        7.7
      8         29.0        1.3
     12         42.2        1.3
     16         56.5        1.4
     20         70.0        1.4
     24         83.7        1.8
     28         96.3        2.9
     32        108.4        3.6
     36        116.7        2.9
     40        123.2        2.6
     44        131.9        3.6
     48        134.3        4.5
     52        138.9        1.9
     56        139.3        3.4
     60        143.5        3.4
     64        148.3        2.5
     68        150.1        2.5
     72        152.6        2.8
     76        155.8        3.4
     80        156.7        3.8
