# nthreads  avg_rate       rms
      4          2.6        3.6
      8          3.3        1.4
     12          5.0        1.1
     16          6.7        3.2
     20          8.3        1.3
     24         10.1        1.9
     28         11.3        2.9
     32         12.8        3.9
     36         13.7        3.2
     40         14.3        1.7
     44         15.5        4.1
     48         15.6        3.1
     52         16.0        3.6
     56         17.0        5.0
     60         16.9        2.8
     64         17.3        3.2
     68         17.2        3.3
     72         17.6        4.7
     76         17.8        3.9
     80         17.9        4.1
