# nthreads     rate
      4         15.6
      4          1.0
      4          3.0
      4          1.0
      4          3.0
      4          0.0
      4          2.0
      4          2.0
      4          2.0
      4          2.0
      4          1.0
      4          3.0
      4          1.0
      4          2.0
      4          1.0
      8          2.0
      8          5.0
      8          3.0
      8          3.0
      8          2.0
      8          4.0
      8          4.0
      8          4.0
      8          4.0
      8          1.0
      8          5.0
      8          2.0
      8          6.0
      8          1.0
      8          4.0
     12          4.0
     12          6.0
     12          4.0
     12          4.0
     12          6.0
     12          5.0
     12          5.0
     12          6.0
     12          6.0
     12          3.0
     12          7.0
     12          5.0
     12          4.0
     12          6.0
     12          4.0
     16          5.0
     16         11.0
     16          3.0
     16         10.0
     16          5.0
     16          6.0
     16         10.0
     16          3.0
     16         12.0
     16          3.0
     16          8.0
     16          7.0
     16          3.0
     16         11.0
     16          4.0
     20          7.0
     20          8.0
     20         10.0
     20          7.0
     20          8.0
     20          9.0
     20          9.0
     20          8.0
     20          7.0
     20         10.0
     20          6.0
     20         10.0
     20          8.0
     20          7.0
     20         10.0
     24          8.0
     24         13.0
     24          9.0
     24         11.0
     24          9.0
     24         10.0
     24         11.0
     24          7.0
     24         12.0
     24         10.0
     24          8.0
     24         11.0
     24         12.0
     24          8.0
     24         13.0
     28          8.5
     28         14.0
     28          9.0
     28         12.0
     28         11.0
     28         15.0
     28          7.0
     28         15.0
     28         13.0
     28         10.0
     28         14.0
     28          5.0
     28         14.0
     28         12.0
     28         10.0
     32         12.5
     32         15.0
     32         14.0
     32         11.0
     32         16.0
     32          6.0
     32         19.0
     32          9.0
     32          9.0
     32         21.0
     32          9.0
     32         13.0
     32         14.0
     32         10.0
     32         13.0
     36         12.0
     36         19.0
     36         11.0
     36         10.0
     36         19.0
     36         12.0
     36         15.0
     36         12.0
     36         13.0
     36         14.0
     36         10.0
     36         18.0
     36         12.0
     36         18.0
     36         10.0
     40         14.5
     40         12.0
     40         13.0
     40         17.0
     40         11.0
     40         16.0
     40         14.0
     40         16.0
     40         16.0
     40         14.0
     40         15.0
     40         15.0
     40         16.0
     40         12.0
     40         13.0
     44         14.5
     44         14.0
     44         20.0
     44         13.0
     44         17.0
     44         13.0
     44         11.0
     44         23.0
     44         14.0
     44         12.0
     44         21.0
     44          8.0
     44         21.0
     44         15.0
     44         16.0
     48         14.5
     48         17.0
     48         16.0
     48         12.0
     48         20.0
     48         13.0
     48         16.0
     48         15.0
     48         13.0
     48         21.0
     48         14.0
     48         11.0
     48         21.0
     48         13.0
     48         17.0
     52         11.5
     52         20.0
     52         19.0
     52         14.0
     52         18.0
     52         15.0
     52         14.0
     52         23.0
     52          8.0
     52         17.0
     52         19.0
     52         13.0
     52         15.0
     52         16.0
     52         17.0
     56         12.5
     56         14.0
     56         29.0
     56         10.0
     56         15.0
     56         16.0
     56         17.0
     56         22.0
     56         14.0
     56         11.0
     56         24.0
     56         17.0
     56         14.0
     56         18.0
     56         22.0
     60         13.0
     60         20.0
     60         19.0
     60         13.0
     60         22.0
     60         15.0
     60         12.0
     60         20.0
     60         18.0
     60         16.0
     60         18.0
     60         16.0
     60         17.0
     60         19.0
     60         15.0
     64         18.0
     64         14.0
     64         19.0
     64         18.0
     64         11.0
     64         21.0
     64         21.0
     64         14.0
     64         16.0
     64         17.0
     64         19.0
     64         18.0
     64         12.0
     64         19.0
     64         22.0
     68         16.5
     68         14.0
     68         17.0
     68         21.0
     68         18.0
     68         16.0
     68         18.0
     68         21.0
     68         18.0
     68         12.0
     68         18.0
     68         25.0
     68         15.0
     68         12.0
     68         17.0
     72         22.0
     72          6.0
     72         20.0
     72         19.0
     72         25.0
     72         14.0
     72         13.0
     72         18.0
     72         23.0
     72         19.0
     72         12.0
     72         18.0
     72         21.0
     72         20.0
     72         15.0
     76         20.5
     76         11.0
     76         19.0
     76         15.0
     76         22.0
     76         21.0
     76         10.0
     76         23.0
     76         21.0
     76         18.0
     76         17.0
     76         12.0
     76         19.0
     76         20.0
     76         19.0
     80         16.5
     80         19.0
     80         22.0
     80         18.0
     80         21.0
     80         10.0
     80         19.0
     80         20.0
     80         18.0
     80         11.0
     80         25.0
     80         16.0
     80         16.0
     80         24.0
     80         14.0
