# nthreads     rate
      4         56.0
      4         16.0
      4         18.0
      4         15.0
      4         15.0
      4         17.0
      4         16.0
      4         16.0
      4         15.0
      4         15.0
      4         16.0
      4         17.0
      4         16.0
      4         17.0
      4         16.0
     12         41.4
     12         49.9
     12         48.9
     12         48.9
     12         46.9
     12         46.9
     12         48.9
     12         44.9
     12         45.9
     12         48.9
     12         48.9
     12         49.9
     12         46.9
     12         44.9
     12         47.9
     20         74.4
     20         80.9
     20         76.9
     20         81.9
     20         79.9
     20         78.9
     20         79.9
     20         77.9
     20         80.9
     20         73.9
     20         81.9
     20         78.9
     20         80.9
     20         81.9
     20         79.9
     28        106.8
     28        108.8
     28        112.8
     28        112.8
     28        109.8
     28        105.8
     28        112.8
     28        110.8
     28        114.8
     28        107.8
     28        114.8
     28        109.8
     28        104.8
     28        109.8
     28        111.8
     36        136.8
     36        146.7
     36        141.7
     36        137.7
     36        143.7
     36        143.7
     36        147.7
     36        144.7
     36        142.7
     36        143.7
     36        141.7
     36        146.7
     36        140.7
     36        146.7
     36        137.7
     44        171.2
     44        174.7
     44        174.7
     44        171.7
     44        170.7
     44        174.7
     44        176.7
     44        176.7
     44        170.7
     44        177.7
     44        177.7
     44        174.7
     44        172.7
     44        173.7
     44        171.7
     52        207.1
     52        206.6
     52        199.6
     52        204.6
     52        210.6
     52        205.6
     52        205.6
     52        197.6
     52        209.6
     52        202.6
     52        209.6
     52        202.6
     52        203.6
     52        204.6
     52        214.6
     60        230.5
     60        240.5
     60        238.5
     60        238.5
     60        232.5
     60        241.5
     60        238.5
     60        236.5
     60        234.5
     60        243.5
     60        237.5
     60        235.5
     60        236.5
     60        245.5
     60        238.5
     68        262.4
     68        271.5
     68        270.5
     68        264.5
     68        270.5
     68        274.5
     68        269.5
     68        261.5
     68        280.4
     68        271.5
     68        264.5
     68        275.5
     68        270.4
     68        269.5
     68        268.4
     76        293.8
     76        300.4
     76        298.4
     76        303.4
     76        304.4
     76        293.4
     76        298.4
     76        307.4
     76        298.4
     76        296.4
     76        297.4
     76        297.4
     76        306.4
     76        297.4
     76        301.4
     84        327.8
     84        330.3
     84        333.3
     84        331.3
     84        332.3
     84        331.3
     84        329.3
     84        325.4
     84        331.3
     84        331.3
     84        327.3
     84        333.3
     84        337.3
     84        331.3
     84        332.3
     92        359.3
     92        359.3
     92        361.3
     92        366.3
     92        360.3
     92        363.3
     92        363.3
     92        361.3
     92        363.3
     92        360.3
     92        362.3
     92        362.3
     92        361.3
     92        356.3
     92        366.3
    100        393.2
    100        391.2
    100        393.2
    100        391.2
    100        393.2
    100        397.2
    100        389.2
    100        393.2
    100        397.2
    100        399.2
    100        390.2
    100        389.2
    100        390.2
    100        392.2
    100        390.2
    108        418.6
    108        429.2
    108        425.1
    108        424.1
    108        422.2
    108        428.1
    108        421.2
    108        432.1
    108        429.1
    108        424.1
    108        422.2
    108        427.1
    108        426.2
    108        422.2
    108        420.2
    116        455.0
    116        447.9
    116        456.8
    116        453.9
    116        452.8
    116        456.8
    116        450.9
    116        459.8
    116        454.9
    116        462.8
    116        450.9
    116        466.8
    116        454.8
    116        452.9
    116        451.9
    124        487.7
    124        484.8
    124        492.8
    124        484.8
    124        481.8
    124        483.8
    124        487.8
    124        479.8
    124        481.8
    124        485.7
    124        496.7
    124        484.8
    124        489.8
    124        482.8
    124        481.8
    132        510.7
    132        525.7
    132        512.7
    132        519.7
    132        521.7
    132        514.7
    132        520.7
    132        516.7
    132        523.7
    132        518.7
    132        510.7
    132        522.7
    132        520.7
    132        512.7
    132        513.7
    140        546.6
    140        546.6
    140        540.6
    140        546.6
    140        547.6
    140        550.6
    140        546.6
    140        539.6
    140        547.6
    140        549.6
    140        543.6
    140        546.6
    140        542.6
    140        556.6
    140        549.6
    148        572.9
    148        576.5
    148        561.6
    148        573.5
    148        574.5
    148        576.4
    148        580.3
    148        568.4
    148        576.3
    148        565.3
    148        578.3
    148        575.3
    148        578.3
    148        575.3
    148        580.3
    156        598.8
    156        603.2
    156        601.2
    156        607.2
    156        604.3
    156        604.2
    156        617.2
    156        596.3
    156        608.2
    156        608.2
    156        596.2
    156        604.2
    156        605.2
    156        602.3
    156        600.3
    164        587.4
    164        634.1
    164        644.1
    164        635.1
    164        626.1
    164        631.1
    164        634.1
    164        628.2
    164        632.1
    164        634.1
    164        631.2
    164        637.1
    164        635.1
    164        640.1
    164        626.2
    172        655.1
    172        657.1
    172        665.0
    172        659.1
    172        659.1
    172        604.2
    172        606.2
    172        582.4
    172        619.2
    172        597.2
    172        590.4
    172        594.2
    172        609.4
    172        591.6
    172        607.2
    180        593.3
    180        615.3
    180        604.1
    180        610.3
    180        609.1
    180        661.0
    180        666.0
    180        690.9
    180        626.0
    180        600.3
    180        662.2
    180        677.0
    180        674.3
    180        670.5
    180        656.0
    188        572.4
    188        601.1
    188        608.0
    188        666.1
    188        665.0
    188        630.2
    188        666.1
    188        614.4
    188        616.5
    188        607.8
    188        599.3
    188        592.6
    188        630.5
    188        631.1
    188        628.0
    196        596.9
    196        604.4
    196        610.2
    196        618.5
    196        669.2
    196        626.3
    196        607.3
    196        614.1
    196        602.3
    196        654.1
    196        685.9
    196        646.2
    196        586.3
    196        582.6
    196        616.2
    204        614.0
    204        622.1
    204        679.8
    204        649.9
    204        622.1
    204        554.6
    204        576.5
    204        565.2
    204        612.4
    204        659.1
    204        662.9
    204        677.0
    204        669.0
    204        657.1
    204        657.9
    212        618.4
    212        658.5
    212        612.0
    212        622.1
    212        603.1
    212        601.2
    212        637.0
    212        664.4
    212        614.0
    212        613.0
    212        664.9
    212        666.8
    212        600.0
    212        591.0
    212        535.8
    220        658.9
    220        660.0
    220        665.4
    220        669.8
    220        620.2
    220        682.9
    220        600.0
    220        625.9
    220        588.0
    220        580.1
    220        595.0
    220        602.1
    220        600.9
    220        667.4
    220        606.1
    228        592.2
    228        586.3
    228        672.1
    228        604.0
    228        642.2
    228        662.7
    228        659.2
    228        593.1
    228        602.9
    228        588.1
    228        565.3
    228        552.4
    228        603.0
    228        623.0
    228        613.0
    236        603.3
    236        657.8
    236        678.3
    236        641.0
    236        582.9
    236        599.4
    236        582.5
    236        568.2
    236        552.2
    236        611.7
    236        546.5
    236        585.8
    236        593.7
    236        637.9
    236        560.0
    244        602.6
    244        590.3
    244        645.7
    244        575.2
    244        603.8
    244        576.8
    244        617.8
    244        584.0
    244        572.8
    244        579.7
    244        624.1
    244        587.7
    244        580.8
    244        615.8
    244        679.4
    252        615.6
    252        574.7
    252        631.6
    252        625.0
    252        603.9
    252        567.0
    252        594.0
    252        595.4
    252        669.7
    252        580.9
    252        576.9
    252        655.7
    252        665.7
    252        606.5
    252        587.9
    260        576.7
    260        601.9
    260        630.5
    260        590.0
    260        561.8
    260        566.4
    260        586.9
    260        574.7
    260        594.8
    260        679.6
    260        664.8
    260        641.6
    260        664.1
    260        657.6
    260        574.9
    268        585.0
    268        622.2
    268        638.7
    268        636.6
    268        679.5
    268        694.9
    268        679.6
    268        570.3
    268        558.7
    268        655.5
    268        614.6
    268        579.6
    268        633.6
    268        579.7
    268        589.7
