# nthreads  avg_rate       rms
      4         13.1        6.7
      8         21.5        1.5
     12         31.0        2.4
     16         40.0        1.9
     20         48.1        4.7
     24         55.6        4.5
     28         62.3        3.1
     32         67.2        3.3
     36         70.2        4.1
     40         72.9        5.3
     44         75.6        5.7
     48         77.8        5.8
     52         79.1        5.5
     56         79.2        7.7
     60         80.1        4.3
     64         80.3        5.7
     68         80.5        6.1
     72         80.4        2.6
     76         82.3        6.9
     80         83.6        7.5
