# nthreads     rate
      4         14.0
      4         16.0
      4         17.0
      4         15.0
      4         16.0
      4         16.0
      4         16.0
      4         14.0
      4         16.0
      4         16.0
      4         16.0
      4         17.0
      4         15.0
      4         14.0
      4         17.0
      8         28.0
      8         31.0
      8         30.0
      8         32.0
      8         28.0
      8         32.0
      8         33.0
      8         31.0
      8         32.0
      8         30.0
      8         31.0
      8         33.0
      8         30.0
      8         31.0
      8         31.0
     12         43.5
     12         47.0
     12         47.0
     12         48.0
     12         45.0
     12         47.0
     12         48.0
     12         43.0
     12         47.0
     12         47.0
     12         47.0
     12         49.0
     12         46.0
     12         46.0
     12         43.0
     16         60.0
     16         60.0
     16         62.0
     16         64.0
     16         64.0
     16         63.0
     16         60.0
     16         62.0
     16         63.0
     16         64.0
     16         60.0
     16         59.0
     16         59.0
     16         63.0
     16         62.0
     20         74.4
     20         79.0
     20         80.0
     20         74.0
     20         81.0
     20         77.0
     20         77.0
     20         75.0
     20         74.0
     20         78.0
     20         79.0
     20         82.0
     20         76.0
     20         79.0
     20         76.0
     24         88.9
     24         92.0
     24         94.0
     24         93.0
     24         93.0
     24         94.0
     24         91.0
     24         88.0
     24         93.0
     24         94.0
     24         95.0
     24         91.0
     24         95.0
     24         91.0
     24         93.0
     28        103.9
     28        110.9
     28        106.9
     28        109.9
     28        110.9
     28        108.0
     28        105.0
     28        112.0
     28        107.0
     28        107.0
     28        109.0
     28        110.0
     28        106.0
     28        107.0
     28        107.0
     32        122.9
     32        127.9
     32        121.9
     32        127.9
     32        119.9
     32        122.9
     32        128.9
     32        124.9
     32        125.9
     32        119.9
     32        123.9
     32        120.9
     32        124.9
     32        122.9
     32        123.9
     36        136.4
     36        136.9
     36        146.9
     36        135.9
     36        135.9
     36        131.9
     36        142.9
     36        139.9
     36        139.9
     36        136.9
     36        133.9
     36        142.9
     36        137.9
     36        138.9
     36        146.9
     40        152.9
     40        156.9
     40        152.9
     40        154.9
     40        158.9
     40        147.9
     40        158.9
     40        151.9
     40        153.9
     40        157.9
     40        151.9
     40        150.9
     40        155.9
     40        154.9
     40        151.9
     44        169.3
     44        166.9
     44        172.9
     44        172.9
     44        164.9
     44        169.9
     44        168.9
     44        170.9
     44        172.9
     44        168.9
     44        166.9
     44        170.9
     44        170.9
     44        169.9
     44        168.9
     48        182.3
     48        189.9
     48        181.9
     48        182.9
     48        188.9
     48        181.9
     48        184.9
     48        186.9
     48        179.9
     48        185.9
     48        184.9
     48        187.9
     48        184.9
     48        176.9
     48        188.9
     52        201.3
     52        202.8
     52        203.8
     52        196.8
     52        203.8
     52        204.8
     52        197.9
     52        197.8
     52        203.8
     52        203.8
     52        195.8
     52        203.8
     52        200.8
     52        195.8
     52        203.8
     56        215.8
     56        216.8
     56        214.8
     56        217.8
     56        207.8
     56        216.8
     56        219.8
     56        215.8
     56        214.8
     56        215.8
     56        213.8
     56        215.8
     56        214.8
     56        214.8
     56        216.8
     60        232.3
     60        231.8
     60        227.8
     60        228.8
     60        229.8
     60        236.8
     60        225.8
     60        232.8
     60        230.8
     60        236.8
     60        237.8
     60        229.8
     60        230.8
     60        236.8
     60        227.8
     64        241.7
     64        252.8
     64        244.8
     64        246.8
     64        250.8
     64        251.8
     64        242.8
     64        248.8
     64        244.8
     64        253.8
     64        246.8
     64        248.8
     64        245.8
     64        250.8
     64        252.8
     68        253.7
     68        256.7
     68        263.7
     68        269.7
     68        259.8
     68        260.8
     68        267.8
     68        261.8
     68        259.8
     68        258.8
     68        269.8
     68        261.8
     68        263.8
     68        262.8
     68        260.8
     72        272.1
     72        281.6
     72        276.6
     72        279.6
     72        273.6
     72        273.6
     72        279.6
     72        278.6
     72        271.6
     72        276.6
     72        279.5
     72        282.5
     72        268.5
     72        281.5
     72        276.6
     76        290.3
     76        294.7
     76        290.6
     76        293.7
     76        294.7
     76        295.7
     76        288.7
     76        285.7
     76        294.7
     76        286.7
     76        297.6
     76        290.7
     76        285.7
     76        293.7
     76        293.7
     80        304.1
     80        307.7
     80        312.7
     80        305.7
     80        307.7
     80        305.7
     80        301.7
     80        307.7
     80        310.7
     80        311.7
     80        310.7
     80        306.7
     80        304.7
     80        309.7
     80        311.7
     84        314.6
     84        324.6
     84        325.6
     84        322.6
     84        323.6
     84        322.6
     84        327.6
     84        320.7
     84        321.6
     84        319.6
     84        320.6
     84        324.6
     84        318.6
     84        326.6
     84        322.6
     88        329.0
     88        337.6
     88        341.6
     88        337.5
     88        340.6
     88        331.6
     88        341.5
     88        334.6
     88        341.6
     88        330.6
     88        341.6
     88        337.6
     88        334.6
     88        339.5
     88        336.6
     92        349.9
     92        353.6
     92        351.6
     92        352.6
     92        356.6
     92        338.7
     92        349.7
     92        359.6
     92        351.7
     92        347.6
     92        351.6
     92        361.6
     92        348.6
     92        353.6
     92        349.6
     96        362.5
     96        371.5
     96        372.5
     96        369.5
     96        360.5
     96        371.5
     96        374.5
     96        364.5
     96        373.5
     96        364.5
     96        373.5
     96        370.5
     96        360.5
     96        367.5
     96        373.5
    100        379.9
    100        384.5
    100        381.5
    100        383.4
    100        384.5
    100        391.4
    100        381.4
    100        379.5
    100        383.5
    100        383.4
    100        388.4
    100        376.5
    100        381.4
    100        383.5
    100        382.5
    104        397.4
    104        402.3
    104        398.4
    104        396.4
    104        399.4
    104        401.4
    104        395.4
    104        398.4
    104        399.4
    104        394.4
    104        394.4
    104        399.4
    104        398.4
    104        396.4
    104        396.4
    108        405.8
    108        418.4
    108        411.4
    108        402.4
    108        410.4
    108        417.4
    108        408.4
    108        418.4
    108        411.4
    108        408.4
    108        415.4
    108        421.3
    108        409.4
    108        412.4
    108        412.4
    112        426.8
    112        431.3
    112        428.3
    112        431.3
    112        427.3
    112        425.3
    112        429.3
    112        425.3
    112        421.3
    112        435.3
    112        425.3
    112        430.3
    112        432.3
    112        424.3
    112        430.3
    116        440.7
    116        445.3
    116        447.2
    116        447.3
    116        436.3
    116        441.3
    116        442.3
    116        440.2
    116        447.3
    116        443.3
    116        451.2
    116        440.3
    116        442.2
    116        437.3
    116        454.3
    120        458.1
    120        456.2
