# nthreads  avg_rate       rms
      4         14.8        1.0
      8         29.7        1.4
     12         44.8        1.9
     16         59.6        2.7
     20         73.5        2.2
     24         89.2        2.6
     28        103.9        2.7
     32        118.9        2.0
     36        132.6        2.4
     40        148.0        2.5
     44        162.7        3.6
     48        178.2        2.6
     52        191.9        3.4
     56        206.7        4.2
     60        222.1        5.1
     64        235.5        4.5
     68        251.0        5.6
     72        264.4        4.0
     76        277.2        4.3
     80        291.3        5.9
     84        306.1        6.3
     88        321.2        3.3
     92        335.0        5.4
     96        323.6       12.0
    100        322.4       10.1
    104        324.0       11.7
    108        321.1       16.1
    112        314.3       17.5
    116        315.6       10.7
    120        303.2       31.2
    124        314.7       25.8
    128        300.9       22.2
    132        306.0       19.3
    136        303.3       25.7
    140        311.8       27.1
    144        293.2       26.5
    148        286.2       36.5
    152        303.0       31.8
    156        286.3       23.5
    160        292.5       42.5
    164        281.0       40.1
    168        299.2       22.2
    172        299.1       33.6
    176        304.7       24.9
    180        288.8       32.0
    184        306.7       19.5
    188        301.8       27.8
    192        297.4       31.5
    196        285.1       27.2
    200        276.7       28.3
    204        296.6       27.1
    208        288.9       39.6
    212        297.2       25.9
    216        292.0       25.6
    220        306.8       18.9
    224        298.2       24.8
    228        299.5       24.3
    232        308.7       21.6
    236        298.8       19.4
    240        286.6       28.4
    244        286.9       29.8
    248        269.9       21.8
    252        305.2       19.3
    256        287.6       21.8
    260        296.8       21.2
    264        271.4       29.2
    268        286.4       33.9
    272        285.2       26.4
