# nthreads  avg_rate       rms
      4         21.3       22.5
      8         28.6        1.6
     12         42.6        2.2
     16         56.3        1.9
     20         70.3        2.8
     24         83.4        2.3
     28         95.6        1.8
     32        108.2        2.2
     36        116.0        1.8
     40        125.3        2.3
     44        131.3        2.5
     48        135.7        2.7
     52        138.8        2.5
     56        140.8        3.6
     60        143.6        1.8
     64        146.1        2.9
     68        147.6        2.8
     72        148.9        3.0
     76        152.1        3.1
     80        153.0        2.6
