# nthreads     rate
      4        143.1
      4         17.0
      4         17.0
      4         16.0
      4         17.0
      4         15.0
      4         15.0
      4         17.0
      4         17.0
      4         16.0
      4         16.0
      4         15.0
      4         16.0
      4         16.0
      4         17.0
      8         34.0
      8         34.0
      8         33.0
      8         31.0
      8         35.0
      8         32.0
      8         33.0
      8         31.0
      8         31.0
      8         35.0
      8         32.0
      8         32.0
      8         35.0
      8         34.0
      8         34.0
     12         50.0
     12         47.0
     12         49.0
     12         50.0
     12         47.0
     12         50.0
     12         49.0
     12         52.0
     12         50.0
     12         52.0
     12         47.0
     12         50.0
     12         49.0
     12         51.0
     12         48.0
     16         68.5
     16         61.0
     16         66.0
     16         67.0
     16         65.0
     16         65.0
     16         65.0
     16         68.0
     16         64.0
     16         68.0
     16         64.0
     16         66.0
     16         66.0
     16         66.0
     16         69.0
     20         83.5
     20         80.0
     20         82.0
     20         85.0
     20         81.0
     20         85.0
     20         82.0
     20         84.0
     20         77.0
     20         85.0
     20         79.0
     20         83.0
     20         83.0
     20         83.0
     20         79.0
     24        101.5
     24         99.0
     24         98.0
     24         97.0
     24         99.0
     24        100.0
     24         97.0
     24        100.0
     24         99.0
     24         99.0
     24         97.0
     24         99.0
     24        101.0
     24         97.0
     24         98.0
     28        115.5
     28        115.0
     28        113.0
     28        117.0
     28        113.0
     28        114.0
     28        118.0
     28        113.0
     28        114.0
     28        117.0
     28        114.0
     28        115.0
     28        116.0
     28        116.0
     28        113.0
     32        133.9
     32        134.0
     32        133.0
     32        132.0
     32        129.0
     32        126.0
     32        137.0
     32        128.0
     32        131.0
     32        129.0
     32        133.0
     32        131.0
     32        129.0
     32        128.0
     32        136.0
     36        147.5
     36        144.0
     36        148.0
     36        152.0
     36        144.0
     36        147.0
     36        148.0
     36        147.0
     36        148.0
     36        151.0
     36        148.0
     36        151.0
     36        151.0
     36        149.0
     36        148.0
     40        164.5
     40        163.0
     40        161.0
     40        161.0
     40        166.0
     40        166.0
     40        165.0
     40        163.0
     40        164.0
     40        165.0
     40        163.0
     40        173.0
     40        159.0
     40        163.0
     40        163.0
     44        179.0
     44        180.0
     44        182.0
     44        178.0
     44        179.0
     44        185.0
     44        183.0
     44        179.0
     44        176.0
     44        186.0
     44        179.0
     44        179.0
     44        177.0
     44        181.0
     44        180.0
     48        196.9
     48        194.0
     48        194.0
     48        193.0
     48        199.0
     48        196.0
     48        196.0
     48        197.0
     48        197.0
     48        192.0
     48        197.0
     48        201.0
     48        194.0
     48        197.0
     48        196.0
     52        215.4
     52        212.0
     52        211.0
     52        215.0
     52        216.0
     52        209.0
     52        220.9
     52        213.0
     52        209.0
     52        215.0
     52        212.0
     52        213.0
     52        213.0
     52        212.0
     52        213.0
     56        228.4
     56        220.9
     56        230.8
     56        224.8
     56        226.8
     56        229.8
     56        228.8
     56        225.8
     56        236.8
     56        227.8
     56        231.8
     56        224.8
     56        233.0
     56        228.0
     56        228.0
     60        246.9
     60        244.0
     60        248.0
     60        246.0
     60        250.0
     60        243.0
     60        244.0
     60        249.0
     60        247.0
     60        242.0
     60        244.0
     60        250.0
     60        246.0
     60        241.0
     60        252.0
     64        261.9
     64        262.0
     64        259.0
     64        261.0
     64        263.0
     64        262.0
     64        261.0
     64        265.0
     64        258.0
     64        266.0
     64        260.0
     64        263.7
     64        262.7
     64        265.7
     64        261.7
     68        279.1
     68        280.7
     68        270.7
     68        276.7
     68        275.7
     68        277.7
     68        279.7
     68        276.7
     68        276.7
     68        283.7
     68        270.7
     68        281.7
     68        274.7
     68        278.7
     68        277.7
     72        293.0
     72        292.7
     72        299.0
     72        291.0
     72        294.0
     72        291.0
     72        288.0
     72        296.0
     72        291.0
     72        295.0
     72        288.0
     72        297.0
     72        298.0
     72        296.0
     72        294.0
     76        310.2
     76        304.7
     76        309.7
     76        311.7
     76        306.7
     76        312.7
     76        308.7
     76        313.7
     76        312.7
     76        305.7
     76        310.7
     76        307.7
     76        310.7
     76        311.7
     76        310.7
     80        323.4
     80        325.7
     80        332.7
     80        331.7
     80        327.7
     80        322.7
     80        319.7
     80        329.7
     80        332.7
     80        321.7
     80        328.7
     80        319.7
     80        327.7
     80        326.7
     80        329.7
