JANA 2.0.0dev [Revision]
Loaded config file '/global/homes/n/nbrei/jana-perf-testing/old_jtest_scaling/exp1/jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/global/homes/n/nbrei/JANA2/Linux-x86_64-cc18.0.1/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:resultsdir = /global/homes/n/nbrei/jana-perf-testing/old_jtest_scaling/exp1
       benchmark:threadstep = 8
  jana:debug_plugin_loading = 1
       jana:extended_report = 1
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
JEventProcessor_jana_test::Init() called
Rate: 259.871Hz   -  ready to begin test
Setting NTHREADS = 4 ...
nthreads=4  rate=3687.95Hz  (avg = 3687.95 +/- 0.392257 Hz)
nthreads=4  rate=562.844Hz  (avg = 2125.4 +/- 1104.89 Hz)
nthreads=4  rate=545.863Hz  (avg = 1598.89 +/- 852.867 Hz)
nthreads=4  rate=537.865Hz  (avg = 1333.63 +/- 679.649 Hz)
nthreads=4  rate=547.855Hz  (avg = 1176.48 +/- 561.595 Hz)
nthreads=4  rate=523.851Hz  (avg = 1067.71 +/- 478.413 Hz)
nthreads=4  rate=530.864Hz  (avg = 991.013 +/- 416.17 Hz)
nthreads=4  rate=537.862Hz  (avg = 934.369 +/- 367.983 Hz)
nthreads=4  rate=541.862Hz  (avg = 890.757 +/- 329.671 Hz)
nthreads=4  rate=569.852Hz  (avg = 858.667 +/- 298.261 Hz)
nthreads=4  rate=563.856Hz  (avg = 831.866 +/- 272.348 Hz)
nthreads=4  rate=536.863Hz  (avg = 807.282 +/- 250.759 Hz)
nthreads=4  rate=524.866Hz  (avg = 785.558 +/- 232.409 Hz)
nthreads=4  rate=541.858Hz  (avg = 768.151 +/- 216.46 Hz)
nthreads=4  rate=518.866Hz  (avg = 751.532 +/- 202.666 Hz)
Setting NTHREADS = 12 ...
nthreads=12  rate=1248.58Hz  (avg = 1248.58 +/- -nan Hz)
nthreads=12  rate=1586.58Hz  (avg = 1417.58 +/- 119.503 Hz)
nthreads=12  rate=1598.68Hz  (avg = 1477.95 +/- 93.6828 Hz)
nthreads=12  rate=1651.67Hz  (avg = 1521.38 +/- 79.6956 Hz)
nthreads=12  rate=1595.68Hz  (avg = 1536.24 +/- 65.1272 Hz)
nthreads=12  rate=1645.66Hz  (avg = 1554.48 +/- 56.7687 Hz)
nthreads=12  rate=1619.68Hz  (avg = 1563.79 +/- 49.4171 Hz)
nthreads=12  rate=1566.69Hz  (avg = 1564.15 +/- 43.2413 Hz)
nthreads=12  rate=1570.68Hz  (avg = 1564.88 +/- 38.4428 Hz)
nthreads=12  rate=1614.67Hz  (avg = 1569.86 +/- 34.9195 Hz)
nthreads=12  rate=1583.67Hz  (avg = 1571.11 +/- 31.7676 Hz)
nthreads=12  rate=1665.66Hz  (avg = 1578.99 +/- 30.0815 Hz)
nthreads=12  rate=1625.66Hz  (avg = 1582.58 +/- 27.9808 Hz)
nthreads=12  rate=1593.68Hz  (avg = 1583.37 +/- 25.9934 Hz)
nthreads=12  rate=1552.69Hz  (avg = 1581.33 +/- 24.3409 Hz)
Setting NTHREADS = 20 ...
nthreads=20  rate=2255.82Hz  (avg = 2255.82 +/- -nan Hz)
nthreads=20  rate=2561.45Hz  (avg = 2408.63 +/- 108.056 Hz)
nthreads=20  rate=2590.46Hz  (avg = 2469.24 +/- 87.3977 Hz)
nthreads=20  rate=2721.45Hz  (avg = 2532.29 +/- 85.3129 Hz)
nthreads=20  rate=2664.47Hz  (avg = 2558.73 +/- 72.23 Hz)
nthreads=20  rate=2626.46Hz  (avg = 2570.02 +/- 61.0674 Hz)
nthreads=20  rate=2629.47Hz  (avg = 2578.51 +/- 52.9308 Hz)
nthreads=20  rate=2667.44Hz  (avg = 2589.63 +/- 47.4675 Hz)
nthreads=20  rate=2622.48Hz  (avg = 2593.28 +/- 42.3334 Hz)
nthreads=20  rate=2701.45Hz  (avg = 2604.1 +/- 39.4579 Hz)
nthreads=20  rate=2618.48Hz  (avg = 2605.4 +/- 35.8925 Hz)
nthreads=20  rate=2740.46Hz  (avg = 2616.66 +/- 34.6211 Hz)
nthreads=20  rate=2621.5Hz  (avg = 2617.03 +/- 31.96 Hz)
nthreads=20  rate=2676.48Hz  (avg = 2621.28 +/- 29.9579 Hz)
nthreads=20  rate=2608.49Hz  (avg = 2620.42 +/- 27.9729 Hz)
Setting NTHREADS = 28 ...
nthreads=28  rate=3301.18Hz  (avg = 3301.18 +/- 0.116955 Hz)
nthreads=28  rate=3525.34Hz  (avg = 3413.26 +/- 79.2547 Hz)
nthreads=28  rate=3694.17Hz  (avg = 3506.9 +/- 92.9361 Hz)
nthreads=28  rate=3603.27Hz  (avg = 3530.99 +/- 72.7582 Hz)
nthreads=28  rate=3683.27Hz  (avg = 3561.45 +/- 64.2655 Hz)
nthreads=28  rate=3675.27Hz  (avg = 3580.42 +/- 56.2852 Hz)
nthreads=28  rate=3690.25Hz  (avg = 3596.11 +/- 50.3841 Hz)
nthreads=28  rate=3571.28Hz  (avg = 3593.01 +/- 44.1817 Hz)
nthreads=28  rate=3747.19Hz  (avg = 3610.14 +/- 42.4642 Hz)
nthreads=28  rate=3653.26Hz  (avg = 3614.45 +/- 38.4361 Hz)
nthreads=28  rate=3601.29Hz  (avg = 3613.25 +/- 34.9605 Hz)
nthreads=28  rate=3748.28Hz  (avg = 3624.5 +/- 33.8095 Hz)
nthreads=28  rate=3710.27Hz  (avg = 3631.1 +/- 31.8459 Hz)
nthreads=28  rate=3627.25Hz  (avg = 3630.83 +/- 29.5724 Hz)
nthreads=28  rate=3653.17Hz  (avg = 3632.32 +/- 27.6384 Hz)
Setting NTHREADS = 36 ...
nthreads=36  rate=3849.36Hz  (avg = 3849.36 +/- -nan Hz)
nthreads=36  rate=4640.07Hz  (avg = 4244.72 +/- 279.556 Hz)
nthreads=36  rate=4490.09Hz  (avg = 4326.51 +/- 197.975 Hz)
nthreads=36  rate=4666.03Hz  (avg = 4411.39 +/- 165.681 Hz)
nthreads=36  rate=4674.08Hz  (avg = 4463.93 +/- 140.629 Hz)
nthreads=36  rate=4644.9Hz  (avg = 4494.09 +/- 120.382 Hz)
nthreads=36  rate=4693.05Hz  (avg = 4522.51 +/- 106.487 Hz)
nthreads=36  rate=4780.08Hz  (avg = 4554.71 +/- 97.9222 Hz)
nthreads=36  rate=4616.08Hz  (avg = 4561.53 +/- 87.2791 Hz)
nthreads=36  rate=4718.07Hz  (avg = 4577.18 +/- 79.9428 Hz)
nthreads=36  rate=4596.1Hz  (avg = 4578.9 +/- 72.6938 Hz)
nthreads=36  rate=4731.09Hz  (avg = 4591.58 +/- 67.7332 Hz)
nthreads=36  rate=4635.08Hz  (avg = 4594.93 +/- 62.6055 Hz)
nthreads=36  rate=4752.08Hz  (avg = 4606.15 +/- 59.1314 Hz)
nthreads=36  rate=4642.09Hz  (avg = 4608.55 +/- 55.2378 Hz)
Setting NTHREADS = 44 ...
nthreads=44  rate=4892.69Hz  (avg = 4892.69 +/- 0.373364 Hz)
nthreads=44  rate=5508.9Hz  (avg = 5200.79 +/- 217.863 Hz)
nthreads=44  rate=5655.8Hz  (avg = 5352.46 +/- 190.87 Hz)
nthreads=44  rate=5515.73Hz  (avg = 5393.28 +/- 147.453 Hz)
nthreads=44  rate=5610.87Hz  (avg = 5436.8 +/- 124.218 Hz)
nthreads=44  rate=5654.83Hz  (avg = 5473.14 +/- 108.7 Hz)
nthreads=44  rate=5676.87Hz  (avg = 5502.24 +/- 96.99 Hz)
nthreads=44  rate=5633.89Hz  (avg = 5518.7 +/- 86.2509 Hz)
nthreads=44  rate=5692.82Hz  (avg = 5538.04 +/- 78.8073 Hz)
nthreads=44  rate=5645.78Hz  (avg = 5548.82 +/- 71.6592 Hz)
nthreads=44  rate=5647.82Hz  (avg = 5557.82 +/- 65.7075 Hz)
nthreads=44  rate=5616.86Hz  (avg = 5562.74 +/- 60.4158 Hz)
nthreads=44  rate=5648.8Hz  (avg = 5569.36 +/- 56.13 Hz)
nthreads=44  rate=5673.88Hz  (avg = 5576.82 +/- 52.6148 Hz)
nthreads=44  rate=5650.77Hz  (avg = 5581.75 +/- 49.3376 Hz)
Setting NTHREADS = 52 ...
nthreads=52  rate=5110.6Hz  (avg = 5110.6 +/- -nan Hz)
nthreads=52  rate=6507.56Hz  (avg = 5809.08 +/- 493.9 Hz)
nthreads=52  rate=6577.55Hz  (avg = 6065.23 +/- 390.077 Hz)
nthreads=52  rate=6522.38Hz  (avg = 6179.52 +/- 308.846 Hz)
nthreads=52  rate=6552.63Hz  (avg = 6254.14 +/- 255.933 Hz)
nthreads=52  rate=6608.51Hz  (avg = 6313.2 +/- 219.987 Hz)
nthreads=52  rate=6536.65Hz  (avg = 6345.12 +/- 190.862 Hz)
nthreads=52  rate=6606.64Hz  (avg = 6377.81 +/- 169.781 Hz)
nthreads=52  rate=6629.61Hz  (avg = 6405.79 +/- 153.204 Hz)
nthreads=52  rate=6623.59Hz  (avg = 6427.57 +/- 139.423 Hz)
nthreads=52  rate=6631.54Hz  (avg = 6446.11 +/- 127.975 Hz)
nthreads=52  rate=6521.54Hz  (avg = 6452.4 +/- 117.465 Hz)
nthreads=52  rate=6656.63Hz  (avg = 6468.11 +/- 109.475 Hz)
nthreads=52  rate=6495.65Hz  (avg = 6470.08 +/- 101.673 Hz)
nthreads=52  rate=6687.65Hz  (avg = 6484.58 +/- 95.9236 Hz)
Setting NTHREADS = 60 ...
nthreads=60  rate=6032.24Hz  (avg = 6032.24 +/- -nan Hz)
nthreads=60  rate=7515.38Hz  (avg = 6773.81 +/- 524.369 Hz)
nthreads=60  rate=7503.48Hz  (avg = 7017.03 +/- 402.051 Hz)
nthreads=60  rate=7556.4Hz  (avg = 7151.88 +/- 323.361 Hz)
nthreads=60  rate=7557.51Hz  (avg = 7233 +/- 268.673 Hz)
nthreads=60  rate=7505.45Hz  (avg = 7278.41 +/- 227.699 Hz)
nthreads=60  rate=7554.52Hz  (avg = 7317.85 +/- 198.557 Hz)
nthreads=60  rate=7561.47Hz  (avg = 7348.31 +/- 176.057 Hz)
nthreads=60  rate=7528.48Hz  (avg = 7368.33 +/- 157.629 Hz)
nthreads=60  rate=7642.48Hz  (avg = 7395.74 +/- 144.231 Hz)
nthreads=60  rate=7569.43Hz  (avg = 7411.53 +/- 131.98 Hz)
nthreads=60  rate=7529.31Hz  (avg = 7421.34 +/- 121.346 Hz)
nthreads=60  rate=7492.51Hz  (avg = 7426.82 +/- 112.135 Hz)
nthreads=60  rate=7528.41Hz  (avg = 7434.08 +/- 104.36 Hz)
nthreads=60  rate=7511.4Hz  (avg = 7439.23 +/- 97.5301 Hz)
Setting NTHREADS = 68 ...
nthreads=68  rate=6083.69Hz  (avg = 6083.69 +/- -nan Hz)
nthreads=68  rate=8194.18Hz  (avg = 7138.93 +/- 746.172 Hz)
nthreads=68  rate=8390.24Hz  (avg = 7556.03 +/- 602.857 Hz)
nthreads=68  rate=8521.26Hz  (avg = 7797.34 +/- 498.101 Hz)
nthreads=68  rate=8489.25Hz  (avg = 7935.72 +/- 417.26 Hz)
nthreads=68  rate=8449.57Hz  (avg = 8021.36 +/- 356.397 Hz)
nthreads=68  rate=8445.21Hz  (avg = 8081.91 +/- 310.585 Hz)
nthreads=68  rate=8493.2Hz  (avg = 8133.32 +/- 275.984 Hz)
nthreads=68  rate=8414.22Hz  (avg = 8164.54 +/- 247.077 Hz)
nthreads=68  rate=8539.1Hz  (avg = 8201.99 +/- 225.191 Hz)
nthreads=68  rate=8583.17Hz  (avg = 8236.64 +/- 207.368 Hz)
nthreads=68  rate=8411.07Hz  (avg = 8251.18 +/- 190.596 Hz)
nthreads=68  rate=8526.31Hz  (avg = 8272.34 +/- 177.106 Hz)
nthreads=68  rate=8541.14Hz  (avg = 8291.54 +/- 165.493 Hz)
nthreads=68  rate=8433.22Hz  (avg = 8300.99 +/- 154.729 Hz)
Setting NTHREADS = 76 ...
nthreads=76  rate=6692.21Hz  (avg = 6692.21 +/- -nan Hz)
