# nthreads  avg_rate       rms
      4        566.1       37.9
     12       1599.0      103.4
     20       2636.1      108.9
     28       3673.8       60.7
     36       4646.9      195.5
     44       5492.9      292.8
     52       6396.4      387.8
     60       7309.2      367.1
     68       8006.5      395.0
     76       8634.8      534.8
     84       9273.7      287.7
     92       9630.3      353.5
    100      10179.7      418.6
    108      10666.0      573.1
    116      11222.0      395.1
    124      11353.4      639.6
    132      11784.7      711.5
    140      12246.4      588.8
    148      12238.3      469.5
    156      12478.4      494.6
    164      13067.0      266.2
    172      13358.4      373.9
    180      13405.5      334.8
    188      13717.7      254.1
    196      13888.5      264.0
    204      14081.1      166.8
    212      14327.9      129.3
    220      14424.4      145.5
    228      14646.3       98.8
    236      14740.7       98.4
    244      14924.9      128.3
    252      15082.6       75.7
    260      15221.2      109.3
    268      15351.2       71.6
