# nthreads     rate
      4        756.4
      4        545.2
      4        567.1
      4        559.1
      4        547.2
      4        558.1
      4        521.2
      4        555.1
      4        558.1
      4        547.1
      4        577.1
      4        565.1
      4        551.2
      4        521.2
      4        549.1
     12       1249.6
     12       1558.6
     12       1642.4
     12       1662.4
     12       1639.5
     12       1597.5
     12       1666.4
     12       1584.5
     12       1612.4
     12       1628.5
     12       1598.5
     12       1676.3
     12       1622.3
     12       1627.4
     12       1564.6
     20       2367.8
     20       2584.0
     20       2605.8
     20       2756.7
     20       2683.8
     20       2669.8
     20       2631.9
     20       2684.7
     20       2648.6
     20       2676.8
     20       2685.9
     20       2695.9
     20       2682.7
     20       2498.2
     20       2658.9
     28       3304.1
     28       3610.4
     28       3630.7
     28       3684.7
     28       3737.8
     28       3694.2
     28       3605.3
     28       3708.7
     28       3673.0
     28       3687.8
     28       3693.1
     28       3667.3
     28       3719.0
     28       3707.1
     28       3656.3
     36       4358.6
     36       4489.8
     36       4631.8
     36       4512.2
     36       4632.4
     36       4618.8
     36       4775.5
     36       4674.3
     36       4763.8
     36       4673.5
     36       4643.5
     36       4167.1
     36       4718.8
     36       4695.1
     36       4716.7
     44       4531.3
     44       5468.2
     44       5332.0
     44       5585.2
     44       5700.0
     44       5611.6
     44       5615.3
     44       5747.6
     44       5705.8
     44       5707.8
     44       5620.2
     44       5634.8
     44       5476.7
     44       5695.5
     44       5514.1
     52       5298.8
     52       6572.1
     52       6568.4
     52       6508.8
     52       5824.9
     52       6481.0
     52       6562.6
     52       6590.6
     52       6503.8
     52       6580.3
     52       6538.3
     52       6615.8
     52       6072.9
     52       6313.0
     52       6437.5
     60       6121.8
     60       7475.9
     60       7391.1
     60       7555.7
     60       7563.8
     60       7554.6
     60       7510.1
     60       6745.6
     60       7153.7
     60       7652.2
     60       7605.5
     60       7447.4
     60       7530.9
     60       7262.1
     60       7468.1
     68       6124.2
     68       8109.4
     68       8376.9
     68       7902.0
     68       8217.0
     68       7645.3
     68       6497.2
     68       8005.1
     68       8257.2
     68       8099.0
     68       7281.2
     68       8069.1
     68       8427.8
     68       7401.3
     68       7969.8
     76       7439.9
     76       8766.8
     76       8736.1
     76       9004.1
     76       8562.0
     76       8844.8
     76       9135.3
     76       8560.5
     76       8795.4
     76       6901.9
     76       8431.8
     76       9042.6
     76       8542.8
     76       9085.0
     76       9055.8
     84       8036.0
     84       9348.6
     84       9478.8
     84       9576.9
     84       9293.7
     84       8707.0
     84       8752.6
     84       9435.9
     84       9398.2
     84       7761.8
     84       9016.7
     84       9576.9
     84       8619.6
     84       9309.7
     84       9596.8
     92       8366.1
     92       9946.7
     92       9903.0
     92      10105.4
     92       9438.9
     92       9383.0
     92       9874.8
     92      10084.5
     92       9943.5
     92       9971.2
     92       8994.0
     92       9593.4
     92       9767.1
     92      10137.5
     92       9444.1
    100      10289.2
    100      10613.2
    100      10558.2
    100      10603.1
    100      10678.1
    100       9978.3
    100       9419.2
    100      10259.7
    100      10393.9
    100       8468.0
    100       9382.2
    100      10244.9
    100      10184.8
    100      10013.3
    100      10324.2
    108       9033.0
    108      10609.2
    108      11120.3
    108      11144.0
    108      11107.3
    108      11147.0
    108      10703.4
    108      10322.3
    108      11060.6
    108       9945.2
    108      10989.7
    108      10737.1
    108      11165.6
    108      10054.0
    108      11004.3
    116      11269.3
    116      11741.6
    116      11527.3
    116      11672.4
    116      11106.6
    116      11558.7
    116      10906.5
    116      10354.7
    116      10819.3
    116      10860.2
    116      11591.3
    116      10802.0
    116      11574.6
    116      10264.7
    116      10043.3
    124      10159.6
    124      11818.5
    124      12093.9
    124      12231.4
    124      12104.0
    124      12161.0
    124      11126.5
    124      10288.8
    124      11524.3
    124      12097.9
    124      11344.6
    124      11116.4
    124      11286.6
    124      11201.7
    124      11441.1
    132      10846.5
    132      11858.4
    132      12437.8
    132      12521.3
    132      12506.9
    132      11994.7
    132      12621.4
    132      11823.1
    132      11558.6
    132      11712.0
    132      10950.3
    132      11959.7
    132      11180.8
    132      12020.2
    132      12529.4
    140      11826.4
    140      12653.8
    140      12662.1
    140      12616.4
    140      12979.7
    140      12650.7
    140      12274.9
    140      11644.3
    140      12463.6
    140      11269.9
    140      12362.4
    140      11797.7
    140      12535.5
    140      12225.7
    140      11917.7
    148      12013.9
    148      12826.5
    148      12854.2
    148      13096.7
    148      13140.4
    148      13023.0
    148      12123.3
    148      12666.3
    148      12558.5
    148      11815.2
    148      12316.4
    148      12368.4
    148      12586.7
    148      12463.9
    148      12905.1
    156      12220.4
    156      13065.8
    156      13220.0
    156      13220.2
    156      13093.9
    156      13346.9
    156      13297.4
    156      12384.1
    156      12327.1
    156      12485.9
    156      12164.3
    156      12933.1
    156      12476.1
    156      12958.8
    156      11960.0
    164      12724.3
    164      13268.7
    164      13411.4
    164      13445.5
    164      13574.8
    164      13159.5
    164      13046.2
    164      13485.0
    164      12817.4
    164      13248.1
    164      12968.4
    164      12693.5
    164      12715.2
    164      13085.5
    164      12655.1
    172      12706.4
    172      13303.6
    172      13369.8
    172      13509.1
    172      13646.4
    172      13575.8
    172      13377.5
    172      13603.6
    172      12901.9
    172      13282.2
    172      12955.8
    172      13262.2
    172      12965.3
    172      12639.0
    172      13350.8
    180      13173.7
    180      13727.2
    180      13835.9
    180      13771.4
    180      13844.2
    180      13676.7
    180      13772.4
    180      13113.3
    180      13714.4
    180      13261.6
    180      13583.8
    180      13190.5
    180      13172.1
    180      13511.5
    180      13494.3
    188      13710.2
    188      13878.3
    188      14049.5
    188      13895.8
    188      13965.9
    188      14007.2
    188      13671.0
    188      13886.5
    188      13938.6
    188      13135.9
    188      13453.7
    188      13224.4
    188      13740.5
    188      13471.8
    188      13438.1
    196      13496.5
    196      14018.2
    196      14183.7
    196      14155.2
    196      14164.4
    196      14224.2
    196      14024.0
    196      14166.0
    196      13868.4
    196      13946.0
    196      13310.0
    196      13841.0
    196      13724.2
    196      14031.3
    196      13756.6
    204      14107.7
    204      14157.2
    204      14304.6
    204      14263.3
    204      14170.3
    204      14281.5
    204      14460.1
    204      14162.1
    204      14316.7
    204      14257.7
    204      14177.4
    204      14246.6
    204      13986.6
    204      14227.5
    204      14041.3
    212      14268.5
    212      14381.6
    212      14277.4
    212      14394.5
    212      14468.9
    212      14339.3
    212      14471.1
    212      14027.8
    212      14285.2
    212      14003.9
    212      14228.5
    212      14127.0
    212      14099.5
    212      14239.8
    212      14176.1
    220      14366.0
    220      14501.5
    220      14635.3
    220      14560.4
    220      13854.5
    220      14329.1
    220      14325.6
    220      14463.6
    220      14441.8
    220      14546.1
    220      14368.8
    220      14505.9
    220      14268.2
    220      14577.8
    220      14488.3
    228      14318.1
    228      14568.3
    228      14665.6
    228      14686.4
    228      14610.0
    228      14615.8
    228      14667.7
    228      14540.5
    228      14772.9
    228      14734.3
    228      14721.1
    228      14596.9
    228      14545.0
    228      14635.1
    228      14605.1
    236      14549.3
    236      14670.8
    236      14799.8
    236      14881.7
    236      14822.1
    236      14511.5
    236      14684.4
    236      14669.4
    236      14784.2
    236      14702.4
    236      14802.9
    236      14599.0
    236      14796.1
    236      14821.8
    236      14873.7
    244      14893.2
    244      14935.0
    244      15088.4
    244      14918.1
    244      14922.7
    244      14976.0
    244      15008.4
    244      14531.2
    244      14692.1
    244      14923.8
    244      15015.1
    244      14910.0
    244      14811.3
    244      15111.4
    244      14609.6
    252      15016.0
    252      15074.1
    252      15080.3
    252      15047.3
    252      15117.6
    252      15029.6
    252      15153.4
    252      15108.0
    252      15026.1
    252      15118.0
    252      15075.6
    252      15122.1
    252      15193.5
    252      14979.6
    252      15227.1
    260      15071.5
    260      15265.2
    260      15249.9
    260      15269.6
    260      15213.1
    260      15282.5
    260      15197.3
    260      15109.5
    260      15152.4
    260      15172.5
    260      15235.1
    260      15186.7
    260      15285.1
    260      15170.7
    260      15277.4
    268      15330.3
    268      15381.7
    268      15533.1
    268      15460.7
    268      15496.3
    268      15520.3
    268      15444.8
    268      15444.5
    268      15495.5
    268      15603.6
    268      15464.6
    268      15457.2
    268      15576.3
    268      15439.7
    268      15454.9
