JANA 2.0.0dev [Revision]
Loaded config file '/global/homes/n/nbrei/jana-perf-testing/old_jtest_scaling/exp2/jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/global/homes/n/nbrei/JANA2/Linux-x86_64-cc18.0.1/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:resultsdir = /global/homes/n/nbrei/jana-perf-testing/old_jtest_scaling/exp2
       benchmark:threadstep = 8
  jana:debug_plugin_loading = 1
           jana:legacy_mode = 0
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
Rate: 4020.35Hz   -  ready to begin test
Setting NTHREADS = 4 ...
nthreads=4  rate=695.209Hz  (avg = 695.209 +/- -nan Hz)
nthreads=4  rate=581.059Hz  (avg = 638.134 +/- 40.3581 Hz)
nthreads=4  rate=562.076Hz  (avg = 612.781 +/- 33.9472 Hz)
nthreads=4  rate=551.073Hz  (avg = 597.354 +/- 28.7529 Hz)
nthreads=4  rate=544.109Hz  (avg = 586.705 +/- 24.8964 Hz)
nthreads=4  rate=566.07Hz  (avg = 583.266 +/- 20.9832 Hz)
nthreads=4  rate=522.113Hz  (avg = 574.53 +/- 19.7205 Hz)
nthreads=4  rate=574.061Hz  (avg = 574.471 +/- 17.2555 Hz)
nthreads=4  rate=559.052Hz  (avg = 572.758 +/- 15.4231 Hz)
nthreads=4  rate=567.066Hz  (avg = 572.189 +/- 13.8913 Hz)
nthreads=4  rate=582.039Hz  (avg = 573.084 +/- 12.6572 Hz)
nthreads=4  rate=557.094Hz  (avg = 571.752 +/- 11.6724 Hz)
nthreads=4  rate=545.106Hz  (avg = 569.702 +/- 10.953 Hz)
nthreads=4  rate=546.068Hz  (avg = 568.014 +/- 10.2999 Hz)
nthreads=4  rate=539.108Hz  (avg = 566.087 +/- 9.79187 Hz)
Setting NTHREADS = 12 ...
nthreads=12  rate=1235.37Hz  (avg = 1235.37 +/- -nan Hz)
nthreads=12  rate=1599.33Hz  (avg = 1417.35 +/- 128.679 Hz)
nthreads=12  rate=1627.25Hz  (avg = 1487.31 +/- 103.067 Hz)
nthreads=12  rate=1672.29Hz  (avg = 1533.56 +/- 87.0593 Hz)
nthreads=12  rate=1628.35Hz  (avg = 1552.52 +/- 71.682 Hz)
nthreads=12  rate=1646.39Hz  (avg = 1568.16 +/- 61.4187 Hz)
nthreads=12  rate=1655.39Hz  (avg = 1580.62 +/- 53.8939 Hz)
nthreads=12  rate=1539.19Hz  (avg = 1575.44 +/- 47.4053 Hz)
nthreads=12  rate=1614.39Hz  (avg = 1579.77 +/- 42.3351 Hz)
nthreads=12  rate=1626.37Hz  (avg = 1584.43 +/- 38.3573 Hz)
nthreads=12  rate=1623.4Hz  (avg = 1587.97 +/- 35.0335 Hz)
nthreads=12  rate=1677.25Hz  (avg = 1595.41 +/- 32.8944 Hz)
nthreads=12  rate=1651.31Hz  (avg = 1599.71 +/- 30.6438 Hz)
nthreads=12  rate=1623.41Hz  (avg = 1601.41 +/- 28.5017 Hz)
nthreads=12  rate=1565.42Hz  (avg = 1599.01 +/- 26.7023 Hz)
Setting NTHREADS = 20 ...
nthreads=20  rate=2395.39Hz  (avg = 2395.39 +/- -nan Hz)
nthreads=20  rate=2605.94Hz  (avg = 2500.67 +/- 74.4414 Hz)
nthreads=20  rate=2648.77Hz  (avg = 2550.04 +/- 63.9354 Hz)
nthreads=20  rate=2757.72Hz  (avg = 2601.96 +/- 65.7362 Hz)
nthreads=20  rate=2675.13Hz  (avg = 2616.59 +/- 54.1934 Hz)
nthreads=20  rate=2669.81Hz  (avg = 2625.46 +/- 45.8813 Hz)
nthreads=20  rate=2646.59Hz  (avg = 2628.48 +/- 39.4261 Hz)
nthreads=20  rate=2681.84Hz  (avg = 2635.15 +/- 35.0574 Hz)
nthreads=20  rate=2710.59Hz  (avg = 2643.53 +/- 32.1487 Hz)
nthreads=20  rate=2660.23Hz  (avg = 2645.2 +/- 28.9771 Hz)
nthreads=20  rate=2688.75Hz  (avg = 2649.16 +/- 26.6119 Hz)
nthreads=20  rate=2703.72Hz  (avg = 2653.71 +/- 24.7795 Hz)
nthreads=20  rate=2685.61Hz  (avg = 2656.16 +/- 22.9946 Hz)
nthreads=20  rate=2662.77Hz  (avg = 2656.63 +/- 21.357 Hz)
nthreads=20  rate=2348.55Hz  (avg = 2636.09 +/- 28.126 Hz)
Setting NTHREADS = 28 ...
nthreads=28  rate=3523.14Hz  (avg = 3523.14 +/- -nan Hz)
nthreads=28  rate=3588.16Hz  (avg = 3555.65 +/- 22.9881 Hz)
nthreads=28  rate=3703.99Hz  (avg = 3605.1 +/- 43.1842 Hz)
nthreads=28  rate=3633.39Hz  (avg = 3612.17 +/- 32.9625 Hz)
nthreads=28  rate=3717.71Hz  (avg = 3633.28 +/- 32.4318 Hz)
nthreads=28  rate=3706.53Hz  (avg = 3645.49 +/- 29.234 Hz)
