JANA 2.0.0dev [Revision]
Loaded config file 'jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/home/nbrei/src/jana2/Linux_CentOS7-x86_64-gcc4.8.5/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:threadstep = 4
  jana:debug_plugin_loading = 1
       jana:extended_report = 1
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
JEventProcessor_jana_test::Init() called
Rate: 16638.4Hz   -  ready to begin test
Setting NTHREADS = 4 ...
nthreads=4  rate=3129.36Hz  (avg = 3129.36 +/- -nan Hz)
nthreads=4  rate=2986.06Hz  (avg = 3057.71 +/- 50.6632 Hz)
nthreads=4  rate=3079.46Hz  (avg = 3064.96 +/- 34.2902 Hz)
nthreads=4  rate=3015.41Hz  (avg = 3052.57 +/- 27.8652 Hz)
nthreads=4  rate=2967.43Hz  (avg = 3035.55 +/- 26.9985 Hz)
nthreads=4  rate=3045.46Hz  (avg = 3037.2 +/- 22.549 Hz)
nthreads=4  rate=3014.55Hz  (avg = 3033.96 +/- 19.5583 Hz)
nthreads=4  rate=3068.44Hz  (avg = 3038.27 +/- 17.582 Hz)
nthreads=4  rate=3062.47Hz  (avg = 3040.96 +/- 15.8329 Hz)
nthreads=4  rate=3053.45Hz  (avg = 3042.21 +/- 14.2988 Hz)
nthreads=4  rate=3001.54Hz  (avg = 3038.51 +/- 13.4684 Hz)
nthreads=4  rate=3015.43Hz  (avg = 3036.59 +/- 12.4828 Hz)
nthreads=4  rate=3131.58Hz  (avg = 3043.9 +/- 13.4927 Hz)
nthreads=4  rate=3120.46Hz  (avg = 3049.36 +/- 13.5922 Hz)
nthreads=4  rate=3090.54Hz  (avg = 3052.11 +/- 12.9603 Hz)
Setting NTHREADS = 8 ...
nthreads=8  rate=5157.1Hz  (avg = 5157.1 +/- -nan Hz)
nthreads=8  rate=5351.1Hz  (avg = 5254.1 +/- 68.5873 Hz)
nthreads=8  rate=5302.26Hz  (avg = 5270.15 +/- 47.5674 Hz)
nthreads=8  rate=5345.06Hz  (avg = 5288.88 +/- 39.1896 Hz)
nthreads=8  rate=5385.04Hz  (avg = 5308.11 +/- 35.7607 Hz)
nthreads=8  rate=5360.11Hz  (avg = 5316.78 +/- 30.8328 Hz)
nthreads=8  rate=5342.23Hz  (avg = 5320.41 +/- 26.6416 Hz)
nthreads=8  rate=5467.01Hz  (avg = 5338.74 +/- 28.9351 Hz)
nthreads=8  rate=5504.17Hz  (avg = 5357.12 +/- 31.0137 Hz)
nthreads=8  rate=5477.03Hz  (avg = 5369.11 +/- 30.1413 Hz)
nthreads=8  rate=5445.16Hz  (avg = 5376.02 +/- 28.1828 Hz)
nthreads=8  rate=5396.98Hz  (avg = 5377.77 +/- 25.8883 Hz)
nthreads=8  rate=5389.14Hz  (avg = 5378.65 +/- 23.9116 Hz)
nthreads=8  rate=5360.06Hz  (avg = 5377.32 +/- 22.2405 Hz)
nthreads=8  rate=5308.23Hz  (avg = 5372.71 +/- 21.2292 Hz)
Setting NTHREADS = 12 ...
nthreads=12  rate=7598.03Hz  (avg = 7598.03 +/- 1.08828 Hz)
nthreads=12  rate=7816.54Hz  (avg = 7707.29 +/- 77.2566 Hz)
nthreads=12  rate=7701.88Hz  (avg = 7705.49 +/- 51.5256 Hz)
nthreads=12  rate=7488.68Hz  (avg = 7651.28 +/- 60.8005 Hz)
nthreads=12  rate=7547.67Hz  (avg = 7630.56 +/- 52.0522 Hz)
nthreads=12  rate=7505.63Hz  (avg = 7609.74 +/- 47.3589 Hz)
nthreads=12  rate=7621.91Hz  (avg = 7611.48 +/- 40.6255 Hz)
nthreads=12  rate=7600.7Hz  (avg = 7610.13 +/- 35.5695 Hz)
nthreads=12  rate=7601.72Hz  (avg = 7609.19 +/- 31.63 Hz)
nthreads=12  rate=7547.69Hz  (avg = 7603.04 +/- 29.0589 Hz)
nthreads=12  rate=7609.93Hz  (avg = 7603.67 +/- 26.4239 Hz)
nthreads=12  rate=7688.59Hz  (avg = 7610.75 +/- 25.1515 Hz)
nthreads=12  rate=7674.56Hz  (avg = 7615.66 +/- 23.691 Hz)
nthreads=12  rate=7611.62Hz  (avg = 7615.37 +/- 22.0005 Hz)
nthreads=12  rate=7544.92Hz  (avg = 7610.67 +/- 21.0292 Hz)
Setting NTHREADS = 16 ...
nthreads=16  rate=9975.89Hz  (avg = 9975.89 +/- 1.65948 Hz)
nthreads=16  rate=10230.2Hz  (avg = 10103 +/- 89.921 Hz)
nthreads=16  rate=10052.5Hz  (avg = 10086.2 +/- 61.504 Hz)
nthreads=16  rate=10088.3Hz  (avg = 10086.7 +/- 46.1303 Hz)
nthreads=16  rate=10022.3Hz  (avg = 10073.8 +/- 38.6607 Hz)
nthreads=16  rate=10003.1Hz  (avg = 10062 +/- 33.9691 Hz)
nthreads=16  rate=10079.6Hz  (avg = 10064.5 +/- 29.2093 Hz)
nthreads=16  rate=10195.5Hz  (avg = 10080.9 +/- 29.7983 Hz)
nthreads=16  rate=10035.1Hz  (avg = 10075.8 +/- 26.9184 Hz)
nthreads=16  rate=10010.4Hz  (avg = 10069.3 +/- 25.0089 Hz)
nthreads=16  rate=10227.6Hz  (avg = 10083.7 +/- 26.5548 Hz)
nthreads=16  rate=10082.3Hz  (avg = 10083.6 +/- 24.3422 Hz)
nthreads=16  rate=10209.5Hz  (avg = 10093.2 +/- 24.32 Hz)
nthreads=16  rate=10095.5Hz  (avg = 10093.4 +/- 22.5832 Hz)
nthreads=16  rate=10087.5Hz  (avg = 10093 +/- 21.0814 Hz)
Setting NTHREADS = 20 ...
nthreads=20  rate=12371.5Hz  (avg = 12371.5 +/- -nan Hz)
nthreads=20  rate=12785.4Hz  (avg = 12578.5 +/- 146.314 Hz)
nthreads=20  rate=12535.2Hz  (avg = 12564 +/- 98.2455 Hz)
nthreads=20  rate=12474.1Hz  (avg = 12541.6 +/- 76.2126 Hz)
nthreads=20  rate=12431Hz  (avg = 12519.5 +/- 64.0944 Hz)
nthreads=20  rate=12469.8Hz  (avg = 12511.2 +/- 53.9414 Hz)
nthreads=20  rate=12409.1Hz  (avg = 12496.6 +/- 48.1683 Hz)
nthreads=20  rate=12401.9Hz  (avg = 12484.8 +/- 43.5772 Hz)
nthreads=20  rate=12518.3Hz  (avg = 12488.5 +/- 38.8947 Hz)
nthreads=20  rate=12393.1Hz  (avg = 12478.9 +/- 36.1555 Hz)
nthreads=20  rate=12586.1Hz  (avg = 12488.7 +/- 34.1541 Hz)
nthreads=20  rate=12533Hz  (avg = 12492.4 +/- 31.5061 Hz)
nthreads=20  rate=12828.1Hz  (avg = 12518.2 +/- 38.2277 Hz)
nthreads=20  rate=12489.1Hz  (avg = 12516.1 +/- 35.5538 Hz)
nthreads=20  rate=12666.1Hz  (avg = 12526.1 +/- 34.5607 Hz)
Setting NTHREADS = 24 ...
nthreads=24  rate=14766.6Hz  (avg = 14766.6 +/- 2.23142 Hz)
nthreads=24  rate=15239.6Hz  (avg = 15003.1 +/- 167.25 Hz)
nthreads=24  rate=15049.8Hz  (avg = 15018.6 +/- 112.223 Hz)
nthreads=24  rate=15071.8Hz  (avg = 15031.9 +/- 84.9484 Hz)
nthreads=24  rate=15062.8Hz  (avg = 15038.1 +/- 68.1805 Hz)
nthreads=24  rate=14937.8Hz  (avg = 15021.4 +/- 58.8316 Hz)
nthreads=24  rate=15013.7Hz  (avg = 15020.3 +/- 50.437 Hz)
nthreads=24  rate=14923.7Hz  (avg = 15008.2 +/- 45.5537 Hz)
nthreads=24  rate=15038.7Hz  (avg = 15011.6 +/- 40.6182 Hz)
nthreads=24  rate=14897.7Hz  (avg = 15000.2 +/- 38.1177 Hz)
nthreads=24  rate=14938.6Hz  (avg = 14994.6 +/- 35.0607 Hz)
nthreads=24  rate=14887.7Hz  (avg = 14985.7 +/- 33.2522 Hz)
nthreads=24  rate=15176.7Hz  (avg = 15000.4 +/- 33.7836 Hz)
nthreads=24  rate=14942.7Hz  (avg = 14996.3 +/- 31.621 Hz)
nthreads=24  rate=15052.7Hz  (avg = 15000 +/- 29.7361 Hz)
Setting NTHREADS = 28 ...
nthreads=28  rate=15765.1Hz  (avg = 15765.1 +/- 2.37632 Hz)
nthreads=28  rate=15844.6Hz  (avg = 15804.8 +/- 28.1262 Hz)
nthreads=28  rate=15809.6Hz  (avg = 15806.4 +/- 18.8122 Hz)
nthreads=28  rate=15819.1Hz  (avg = 15809.6 +/- 14.3574 Hz)
nthreads=28  rate=15895.1Hz  (avg = 15826.7 +/- 19.1289 Hz)
nthreads=28  rate=15645.3Hz  (avg = 15796.5 +/- 31.8673 Hz)
nthreads=28  rate=15773.7Hz  (avg = 15793.2 +/- 27.4805 Hz)
nthreads=28  rate=15772.6Hz  (avg = 15790.6 +/- 24.1666 Hz)
nthreads=28  rate=15802.6Hz  (avg = 15792 +/- 21.5174 Hz)
nthreads=28  rate=15726.6Hz  (avg = 15785.4 +/- 20.3371 Hz)
