JANA 2.0.0dev [Revision]
Loaded config file 'jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/home/nbrei/src/jana2/Linux_CentOS7-x86_64-gcc4.8.5/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:threadstep = 4
  jana:debug_plugin_loading = 1
           jana:legacy_mode = 0
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
Rate: 16409Hz   -  ready to begin test
Setting NTHREADS = 4 ...
nthreads=4  rate=2865.57Hz  (avg = 2865.57 +/- -nan Hz)
nthreads=4  rate=2866.81Hz  (avg = 2866.19 +/- 0.291149 Hz)
nthreads=4  rate=2896.07Hz  (avg = 2876.15 +/- 8.13628 Hz)
nthreads=4  rate=2909.16Hz  (avg = 2884.4 +/- 9.39845 Hz)
nthreads=4  rate=2853.04Hz  (avg = 2878.13 +/- 9.38109 Hz)
nthreads=4  rate=2886.21Hz  (avg = 2879.48 +/- 7.91373 Hz)
nthreads=4  rate=2911.13Hz  (avg = 2884 +/- 7.97057 Hz)
nthreads=4  rate=2914.08Hz  (avg = 2887.76 +/- 7.81096 Hz)
nthreads=4  rate=2948.18Hz  (avg = 2894.47 +/- 9.39481 Hz)
nthreads=4  rate=2860.2Hz  (avg = 2891.05 +/- 9.05891 Hz)
nthreads=4  rate=3027.16Hz  (avg = 2903.42 +/- 14.3881 Hz)
nthreads=4  rate=2990.08Hz  (avg = 2910.64 +/- 14.8918 Hz)
nthreads=4  rate=3079.02Hz  (avg = 2923.59 +/- 18.5421 Hz)
nthreads=4  rate=3098.14Hz  (avg = 2936.06 +/- 20.995 Hz)
nthreads=4  rate=3085.15Hz  (avg = 2946 +/- 21.8215 Hz)
Setting NTHREADS = 8 ...
nthreads=8  rate=5063.36Hz  (avg = 5063.36 +/- -nan Hz)
nthreads=8  rate=5327.46Hz  (avg = 5195.41 +/- 93.3698 Hz)
nthreads=8  rate=5208.32Hz  (avg = 5199.71 +/- 62.3455 Hz)
nthreads=8  rate=5241.29Hz  (avg = 5210.11 +/- 47.618 Hz)
nthreads=8  rate=5408.3Hz  (avg = 5249.75 +/- 52.0402 Hz)
nthreads=8  rate=5288.25Hz  (avg = 5256.16 +/- 43.7605 Hz)
nthreads=8  rate=5324.47Hz  (avg = 5265.92 +/- 38.5816 Hz)
nthreads=8  rate=5308.29Hz  (avg = 5271.22 +/- 34.1203 Hz)
nthreads=8  rate=5483.27Hz  (avg = 5294.78 +/- 37.5938 Hz)
nthreads=8  rate=5423.32Hz  (avg = 5307.63 +/- 35.9649 Hz)
nthreads=8  rate=5427.37Hz  (avg = 5318.52 +/- 34.3031 Hz)
nthreads=8  rate=5294.39Hz  (avg = 5316.51 +/- 31.5034 Hz)
nthreads=8  rate=5350.35Hz  (avg = 5319.11 +/- 29.1875 Hz)
nthreads=8  rate=5313.26Hz  (avg = 5318.69 +/- 27.1057 Hz)
nthreads=8  rate=5358.45Hz  (avg = 5321.34 +/- 25.428 Hz)
Setting NTHREADS = 12 ...
nthreads=12  rate=7359.58Hz  (avg = 7359.58 +/- -nan Hz)
nthreads=12  rate=7616.66Hz  (avg = 7488.12 +/- 90.8895 Hz)
nthreads=12  rate=7488.71Hz  (avg = 7488.32 +/- 60.5924 Hz)
nthreads=12  rate=7476.81Hz  (avg = 7485.44 +/- 45.5133 Hz)
nthreads=12  rate=7507.54Hz  (avg = 7489.86 +/- 36.6254 Hz)
nthreads=12  rate=7424.66Hz  (avg = 7478.99 +/- 32.0929 Hz)
nthreads=12  rate=7427.85Hz  (avg = 7471.69 +/- 28.3278 Hz)
nthreads=12  rate=7579.64Hz  (avg = 7485.18 +/- 27.8162 Hz)
nthreads=12  rate=7315.03Hz  (avg = 7466.28 +/- 30.4802 Hz)
nthreads=12  rate=7429.04Hz  (avg = 7462.55 +/- 27.6587 Hz)
nthreads=12  rate=7380.11Hz  (avg = 7455.06 +/- 26.1403 Hz)
nthreads=12  rate=7438.93Hz  (avg = 7453.71 +/- 23.9967 Hz)
nthreads=12  rate=7477.64Hz  (avg = 7455.55 +/- 22.2212 Hz)
nthreads=12  rate=7485.74Hz  (avg = 7457.71 +/- 20.7382 Hz)
nthreads=12  rate=7485.61Hz  (avg = 7459.57 +/- 19.4389 Hz)
Setting NTHREADS = 16 ...
nthreads=16  rate=9578.09Hz  (avg = 9578.09 +/- 0.599552 Hz)
nthreads=16  rate=9779.12Hz  (avg = 9678.6 +/- 71.0793 Hz)
nthreads=16  rate=9645.97Hz  (avg = 9667.72 +/- 48.2076 Hz)
nthreads=16  rate=9670.05Hz  (avg = 9668.31 +/- 36.1624 Hz)
nthreads=16  rate=9699.2Hz  (avg = 9674.48 +/- 29.4544 Hz)
nthreads=16  rate=9582.21Hz  (avg = 9659.1 +/- 28.2762 Hz)
nthreads=16  rate=9470.15Hz  (avg = 9632.11 +/- 34.8138 Hz)
nthreads=16  rate=9680.08Hz  (avg = 9638.11 +/- 30.975 Hz)
nthreads=16  rate=9845.97Hz  (avg = 9661.2 +/- 35.1031 Hz)
