[TRACE] 0: : Looking for './JTest.so' ....
[TRACE] 0: : Failed to attach './JTest.so'
[TRACE] 0: : Looking for '/home/nbrei/src/jana2/Linux_CentOS7-x86_64-gcc4.8.5/plugins/JTest.so' ....
[TRACE] 0: : Found!
[INFO] 0: : Initializing plugin "/home/nbrei/src/jana2/Linux_CentOS7-x86_64-gcc4.8.5/plugins/JTest.so"
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

              Config. Parameters
  ===========================================
          name                    value
  --------------------   --------------------
  benchmark:maxthreads = 88
  benchmark:minthreads = 4
  benchmark:threadstep = 4
               NEVENTS = 0
              nthreads = 4

Start processing ...
Waiting for event source to start producing ... rate: 0
JEventProcessor_jana_test::Init() called
Rate: 3710.11Hz   -  ready to begin test
Setting NTHREADS = 4 ...
nthreads=4  rate=3825.21Hz  (avg = 3825.21 +/- 0.657664 Hz)
nthreads=4  rate=3846.19Hz  (avg = 3835.7 +/- 7.42003 Hz)
nthreads=4  rate=3748.24Hz  (avg = 3806.55 +/- 24.3114 Hz)
nthreads=4  rate=3811.26Hz  (avg = 3807.73 +/- 18.2615 Hz)
nthreads=4  rate=3841.24Hz  (avg = 3814.43 +/- 15.7909 Hz)
nthreads=4  rate=3894.24Hz  (avg = 3827.73 +/- 17.9052 Hz)
nthreads=4  rate=3835.2Hz  (avg = 3828.8 +/- 15.3793 Hz)
nthreads=4  rate=3771.3Hz  (avg = 3821.61 +/- 15.0428 Hz)
nthreads=4  rate=3836.25Hz  (avg = 3823.24 +/- 13.4591 Hz)
nthreads=4  rate=3901.22Hz  (avg = 3831.04 +/- 14.1937 Hz)
nthreads=4  rate=3941.24Hz  (avg = 3841.05 +/- 16.0542 Hz)
nthreads=4  rate=3832.32Hz  (avg = 3840.33 +/- 14.7329 Hz)
nthreads=4  rate=3662.24Hz  (avg = 3826.63 +/- 18.9257 Hz)
nthreads=4  rate=3797.84Hz  (avg = 3824.57 +/- 17.6851 Hz)
nthreads=4  rate=3862.25Hz  (avg = 3827.08 +/- 16.6834 Hz)
Setting NTHREADS = 8 ...
nthreads=8  rate=7042.11Hz  (avg = 7042.11 +/- 1.07946 Hz)
nthreads=8  rate=7138.85Hz  (avg = 7090.48 +/- 34.2099 Hz)
nthreads=8  rate=7205.79Hz  (avg = 7128.92 +/- 38.7959 Hz)
nthreads=8  rate=7034.71Hz  (avg = 7105.37 +/- 35.5345 Hz)
nthreads=8  rate=7037.76Hz  (avg = 7091.84 +/- 30.8921 Hz)
nthreads=8  rate=7043.85Hz  (avg = 7083.85 +/- 26.7597 Hz)
nthreads=8  rate=7061.86Hz  (avg = 7080.7 +/- 23.1213 Hz)
nthreads=8  rate=7145.83Hz  (avg = 7088.84 +/- 21.6172 Hz)
nthreads=8  rate=7039.85Hz  (avg = 7083.4 +/- 19.8889 Hz)
nthreads=8  rate=7008.8Hz  (avg = 7075.94 +/- 19.2478 Hz)
nthreads=8  rate=7150.8Hz  (avg = 7082.75 +/- 18.6623 Hz)
nthreads=8  rate=7056.85Hz  (avg = 7080.59 +/- 17.2313 Hz)
nthreads=8  rate=7313.82Hz  (avg = 7098.53 +/- 23.4547 Hz)
nthreads=8  rate=7119.84Hz  (avg = 7100.05 +/- 21.8288 Hz)
nthreads=8  rate=7049.78Hz  (avg = 7096.7 +/- 20.6292 Hz)
Setting NTHREADS = 12 ...
nthreads=12  rate=10530.5Hz  (avg = 10530.5 +/- -nan Hz)
nthreads=12  rate=10364Hz  (avg = 10447.2 +/- 58.8969 Hz)
nthreads=12  rate=10511.1Hz  (avg = 10468.5 +/- 42.9373 Hz)
nthreads=12  rate=10425.3Hz  (avg = 10457.7 +/- 33.5394 Hz)
nthreads=12  rate=10486.3Hz  (avg = 10463.4 +/- 27.3133 Hz)
nthreads=12  rate=10539.3Hz  (avg = 10476.1 +/- 25.5171 Hz)
nthreads=12  rate=10398.3Hz  (avg = 10464.9 +/- 24.1691 Hz)
nthreads=12  rate=10518.3Hz  (avg = 10471.6 +/- 22.0477 Hz)
nthreads=12  rate=10507.2Hz  (avg = 10475.6 +/- 19.9511 Hz)
nthreads=12  rate=10441.3Hz  (avg = 10472.1 +/- 18.2475 Hz)
nthreads=12  rate=10490.3Hz  (avg = 10473.8 +/- 16.6621 Hz)
nthreads=12  rate=10485.3Hz  (avg = 10474.8 +/- 15.3016 Hz)
nthreads=12  rate=10615.3Hz  (avg = 10485.6 +/- 17.532 Hz)
nthreads=12  rate=10480.3Hz  (avg = 10485.2 +/- 16.2832 Hz)
nthreads=12  rate=10438.5Hz  (avg = 10482.1 +/- 15.4928 Hz)
Setting NTHREADS = 16 ...
nthreads=16  rate=13922Hz  (avg = 13922 +/- 2.59985 Hz)
nthreads=16  rate=13694.6Hz  (avg = 13808.3 +/- 80.3849 Hz)
nthreads=16  rate=13929.5Hz  (avg = 13848.7 +/- 62.9196 Hz)
nthreads=16  rate=13869.5Hz  (avg = 13853.9 +/- 47.4063 Hz)
nthreads=16  rate=13803.4Hz  (avg = 13843.8 +/- 38.9898 Hz)
nthreads=16  rate=13852.2Hz  (avg = 13845.2 +/- 32.5156 Hz)
nthreads=16  rate=13845.3Hz  (avg = 13845.2 +/- 27.8702 Hz)
nthreads=16  rate=13817.7Hz  (avg = 13841.8 +/- 24.5965 Hz)
nthreads=16  rate=13783.4Hz  (avg = 13835.3 +/- 22.702 Hz)
nthreads=16  rate=13766.4Hz  (avg = 13828.4 +/- 21.4537 Hz)
nthreads=16  rate=13919.1Hz  (avg = 13836.6 +/- 21.0281 Hz)
nthreads=16  rate=13948.7Hz  (avg = 13846 +/- 21.2464 Hz)
nthreads=16  rate=14000.3Hz  (avg = 13857.9 +/- 22.6887 Hz)
nthreads=16  rate=14119.1Hz  (avg = 13876.5 +/- 27.7002 Hz)
nthreads=16  rate=13805.7Hz  (avg = 13871.8 +/- 26.2521 Hz)
Setting NTHREADS = 20 ...
nthreads=20  rate=17239.3Hz  (avg = 17239.3 +/- -nan Hz)
nthreads=20  rate=17169.7Hz  (avg = 17204.5 +/- 24.5493 Hz)
nthreads=20  rate=17225.6Hz  (avg = 17211.5 +/- 17.3877 Hz)
nthreads=20  rate=17197.9Hz  (avg = 17208.1 +/- 13.3372 Hz)
nthreads=20  rate=17251.7Hz  (avg = 17216.8 +/- 13.2098 Hz)
nthreads=20  rate=17214.6Hz  (avg = 17216.5 +/- 10.9955 Hz)
nthreads=20  rate=17126.6Hz  (avg = 17203.6 +/- 15.1768 Hz)
nthreads=20  rate=17125.1Hz  (avg = 17193.8 +/- 16.1466 Hz)
nthreads=20  rate=17054.6Hz  (avg = 17178.3 +/- 20.4637 Hz)
nthreads=20  rate=17150.6Hz  (avg = 17175.6 +/- 18.6066 Hz)
nthreads=20  rate=17175.7Hz  (avg = 17175.6 +/- 16.9135 Hz)
nthreads=20  rate=17262.9Hz  (avg = 17182.9 +/- 16.9976 Hz)
nthreads=20  rate=17296.8Hz  (avg = 17191.6 +/- 17.8067 Hz)
nthreads=20  rate=17526.6Hz  (avg = 17215.5 +/- 28.3721 Hz)
nthreads=20  rate=17016.6Hz  (avg = 17202.3 +/- 29.4195 Hz)
Setting NTHREADS = 24 ...
nthreads=24  rate=20195.4Hz  (avg = 20195.4 +/- -nan Hz)
nthreads=24  rate=20284.9Hz  (avg = 20240.2 +/- 31.6571 Hz)
nthreads=24  rate=20138.5Hz  (avg = 20206.3 +/- 34.7692 Hz)
nthreads=24  rate=20145.5Hz  (avg = 20191.1 +/- 29.215 Hz)
nthreads=24  rate=20203.9Hz  (avg = 20193.7 +/- 23.4906 Hz)
nthreads=24  rate=20239Hz  (avg = 20201.2 +/- 20.7588 Hz)
nthreads=24  rate=20112.1Hz  (avg = 20188.5 +/- 21.3374 Hz)
nthreads=24  rate=20144.8Hz  (avg = 20183 +/- 19.3507 Hz)
nthreads=24  rate=20000.1Hz  (avg = 20162.7 +/- 25.7497 Hz)
nthreads=24  rate=19990.9Hz  (avg = 20145.5 +/- 28.331 Hz)
nthreads=24  rate=20001.1Hz  (avg = 20132.4 +/- 28.6353 Hz)
nthreads=24  rate=20193.6Hz  (avg = 20137.5 +/- 26.7013 Hz)
nthreads=24  rate=20351.3Hz  (avg = 20153.9 +/- 29.2769 Hz)
nthreads=24  rate=20337Hz  (avg = 20167 +/- 29.9656 Hz)
nthreads=24  rate=20270Hz  (avg = 20173.9 +/- 28.7429 Hz)
Setting NTHREADS = 28 ...
nthreads=28  rate=23036.6Hz  (avg = 23036.6 +/- 0.458731 Hz)
nthreads=28  rate=23206.4Hz  (avg = 23121.5 +/- 60.1033 Hz)
nthreads=28  rate=23167.3Hz  (avg = 23136.7 +/- 41.9616 Hz)
nthreads=28  rate=23178.4Hz  (avg = 23147.2 +/- 32.7466 Hz)
nthreads=28  rate=22975.3Hz  (avg = 23112.8 +/- 40.3907 Hz)
nthreads=28  rate=23181.4Hz  (avg = 23124.2 +/- 35.2505 Hz)
nthreads=28  rate=23274Hz  (avg = 23145.6 +/- 36.122 Hz)
nthreads=28  rate=23040.9Hz  (avg = 23132.5 +/- 33.8954 Hz)
nthreads=28  rate=23052.6Hz  (avg = 23123.6 +/- 31.2693 Hz)
nthreads=28  rate=22951.4Hz  (avg = 23106.4 +/- 32.5406 Hz)
nthreads=28  rate=22890.7Hz  (avg = 23086.8 +/- 34.9981 Hz)
nthreads=28  rate=23028.2Hz  (avg = 23081.9 +/- 32.4223 Hz)
nthreads=28  rate=23150.9Hz  (avg = 23087.2 +/- 30.3599 Hz)
nthreads=28  rate=23199.4Hz  (avg = 23095.2 +/- 29.2294 Hz)
nthreads=28  rate=23178.5Hz  (avg = 23100.8 +/- 27.8004 Hz)
Setting NTHREADS = 32 ...
nthreads=32  rate=25334.1Hz  (avg = 25334.1 +/- 4.3834 Hz)
nthreads=32  rate=25827.3Hz  (avg = 25580.7 +/- 174.405 Hz)
nthreads=32  rate=25624.9Hz  (avg = 25595.5 +/- 116.9 Hz)
nthreads=32  rate=25498.3Hz  (avg = 25571.2 +/- 90.1652 Hz)
nthreads=32  rate=25238.4Hz  (avg = 25504.6 +/- 93.5278 Hz)
nthreads=32  rate=25595.4Hz  (avg = 25519.7 +/- 79.1499 Hz)
nthreads=32  rate=25496.5Hz  (avg = 25516.4 +/- 67.9104 Hz)
nthreads=32  rate=25504.5Hz  (avg = 25514.9 +/- 59.4343 Hz)
nthreads=32  rate=25400Hz  (avg = 25502.2 +/- 54.1834 Hz)
nthreads=32  rate=25399.1Hz  (avg = 25491.9 +/- 49.7394 Hz)
nthreads=32  rate=25184.4Hz  (avg = 25463.9 +/- 52.4847 Hz)
nthreads=32  rate=25304.7Hz  (avg = 25450.6 +/- 49.7578 Hz)
nthreads=32  rate=25314.5Hz  (avg = 25440.2 +/- 47.0194 Hz)
nthreads=32  rate=25468.3Hz  (avg = 25442.2 +/- 43.702 Hz)
nthreads=32  rate=25554.1Hz  (avg = 25449.6 +/- 41.4211 Hz)
Setting NTHREADS = 36 ...
nthreads=36  rate=27677.5Hz  (avg = 27677.5 +/- -nan Hz)
nthreads=36  rate=27650.3Hz  (avg = 27663.9 +/- 9.71369 Hz)
nthreads=36  rate=27719.9Hz  (avg = 27682.6 +/- 16.4992 Hz)
nthreads=36  rate=27787.1Hz  (avg = 27708.7 +/- 25.7708 Hz)
nthreads=36  rate=27667Hz  (avg = 27700.4 +/- 21.9357 Hz)
nthreads=36  rate=27725.1Hz  (avg = 27704.5 +/- 18.6581 Hz)
nthreads=36  rate=27728Hz  (avg = 27707.8 +/- 16.2822 Hz)
nthreads=36  rate=27756.2Hz  (avg = 27713.9 +/- 15.3195 Hz)
nthreads=36  rate=27742.1Hz  (avg = 27717 +/- 13.9446 Hz)
nthreads=36  rate=27542.9Hz  (avg = 27699.6 +/- 20.7562 Hz)
nthreads=36  rate=27583.5Hz  (avg = 27689.1 +/- 21.3846 Hz)
nthreads=36  rate=27556.3Hz  (avg = 27678 +/- 22.2831 Hz)
nthreads=36  rate=27436.6Hz  (avg = 27659.4 +/- 27.2306 Hz)
nthreads=36  rate=27695.2Hz  (avg = 27662 +/- 25.404 Hz)
nthreads=36  rate=27758.9Hz  (avg = 27668.4 +/- 24.5172 Hz)
Setting NTHREADS = 40 ...
nthreads=40  rate=29533.3Hz  (avg = 29533.3 +/- 3.80743 Hz)
nthreads=40  rate=29646.1Hz  (avg = 29589.7 +/- 39.9094 Hz)
nthreads=40  rate=29613.2Hz  (avg = 29597.5 +/- 27.3562 Hz)
nthreads=40  rate=29684.4Hz  (avg = 29619.2 +/- 27.8013 Hz)
nthreads=40  rate=29594.3Hz  (avg = 29614.2 +/- 22.6775 Hz)
nthreads=40  rate=29602.2Hz  (avg = 29612.2 +/- 18.9902 Hz)
nthreads=40  rate=29523.3Hz  (avg = 29599.5 +/- 20.0738 Hz)
nthreads=40  rate=29775.1Hz  (avg = 29621.5 +/- 27.0264 Hz)
nthreads=40  rate=29634.5Hz  (avg = 29622.9 +/- 24.0572 Hz)
nthreads=40  rate=29649.3Hz  (avg = 29625.6 +/- 21.7903 Hz)
nthreads=40  rate=29591.5Hz  (avg = 29622.5 +/- 20.0305 Hz)
nthreads=40  rate=29464.6Hz  (avg = 29609.3 +/- 22.2678 Hz)
nthreads=40  rate=29528.6Hz  (avg = 29603.1 +/- 21.4029 Hz)
nthreads=40  rate=29391.4Hz  (avg = 29588 +/- 24.6454 Hz)
nthreads=40  rate=29737.6Hz  (avg = 29598 +/- 24.9387 Hz)
Setting NTHREADS = 44 ...
nthreads=44  rate=31131.3Hz  (avg = 31131.3 +/- 5.62441 Hz)
nthreads=44  rate=31439.2Hz  (avg = 31285.2 +/- 108.874 Hz)
nthreads=44  rate=31353.3Hz  (avg = 31307.9 +/- 74.8876 Hz)
nthreads=44  rate=31413.3Hz  (avg = 31334.3 +/- 60.6262 Hz)
nthreads=44  rate=31453.4Hz  (avg = 31358.1 +/- 52.9847 Hz)
nthreads=44  rate=31206.3Hz  (avg = 31332.8 +/- 49.8208 Hz)
nthreads=44  rate=31238.4Hz  (avg = 31319.3 +/- 44.4884 Hz)
nthreads=44  rate=31429.4Hz  (avg = 31333.1 +/- 41.0045 Hz)
nthreads=44  rate=31496.3Hz  (avg = 31351.2 +/- 40.257 Hz)
nthreads=44  rate=31423.2Hz  (avg = 31358.4 +/- 36.8712 Hz)
nthreads=44  rate=31461.4Hz  (avg = 31367.8 +/- 34.6899 Hz)
nthreads=44  rate=31294.4Hz  (avg = 31361.7 +/- 32.3314 Hz)
nthreads=44  rate=31176.5Hz  (avg = 31347.4 +/- 32.8347 Hz)
nthreads=44  rate=31434.4Hz  (avg = 31353.6 +/- 31.0711 Hz)
nthreads=44  rate=31317.4Hz  (avg = 31351.2 +/- 29.0918 Hz)
Setting NTHREADS = 48 ...
nthreads=48  rate=31688.8Hz  (avg = 31688.8 +/- -nan Hz)
nthreads=48  rate=31322.9Hz  (avg = 31505.9 +/- 129.35 Hz)
nthreads=48  rate=31628Hz  (avg = 31546.6 +/- 92.4181 Hz)
nthreads=48  rate=31510Hz  (avg = 31537.4 +/- 69.7638 Hz)
nthreads=48  rate=31665.7Hz  (avg = 31563.1 +/- 60.3399 Hz)
nthreads=48  rate=31040.9Hz  (avg = 31476.1 +/- 94.0298 Hz)
nthreads=48  rate=29840.1Hz  (avg = 31242.4 +/- 230.894 Hz)
nthreads=48  rate=29679.4Hz  (avg = 31047 +/- 272.427 Hz)
nthreads=48  rate=30027Hz  (avg = 30933.6 +/- 264.685 Hz)
nthreads=48  rate=29835.1Hz  (avg = 30823.8 +/- 260.015 Hz)
nthreads=48  rate=29859.2Hz  (avg = 30736.1 +/- 250.728 Hz)
nthreads=48  rate=30166.1Hz  (avg = 30688.6 +/- 234.291 Hz)
nthreads=48  rate=29402.3Hz  (avg = 30589.7 +/- 236.241 Hz)
nthreads=48  rate=30097.2Hz  (avg = 30554.5 +/- 221.97 Hz)
nthreads=48  rate=31365.2Hz  (avg = 30608.5 +/- 213.65 Hz)
Setting NTHREADS = 52 ...
nthreads=52  rate=33066.6Hz  (avg = 33066.6 +/- -nan Hz)
nthreads=52  rate=33122.6Hz  (avg = 33094.6 +/- 19.169 Hz)
nthreads=52  rate=33128.1Hz  (avg = 33105.8 +/- 15.6689 Hz)
nthreads=52  rate=32927.9Hz  (avg = 33061.3 +/- 40.2841 Hz)
nthreads=52  rate=33010.9Hz  (avg = 33051.2 +/- 33.4641 Hz)
nthreads=52  rate=33244.9Hz  (avg = 33083.5 +/- 40.5691 Hz)
nthreads=52  rate=32733.8Hz  (avg = 33033.6 +/- 57.8589 Hz)
nthreads=52  rate=32797.6Hz  (avg = 33004.1 +/- 57.6556 Hz)
