# nthreads  avg_rate       rms
      4         12.3        1.6
      8         19.8        1.9
     12         25.3        1.9
     16         31.4        2.2
     20         37.0        1.9
     24         43.5        2.5
     28         48.0        3.3
     32         49.8        3.4
     36         54.4        3.7
     40         56.6        3.7
     44         57.7        3.6
     48         55.9        2.1
     52         57.1        2.8
     56         57.0        2.3
     60         58.5        3.2
     64         60.3        2.9
     68         61.3        2.6
     72         60.9        2.4
     76         59.6        4.2
     80         61.9        6.4
