# nthreads     rate
      4          9.9
      4          4.0
      4          7.0
      4          7.0
      4          5.0
      4          5.0
      4          4.0
      4          4.0
      4          7.0
      4          5.0
      4          4.0
      4          5.0
      4          4.0
      4          5.0
      4          6.0
      8          7.0
      8         10.0
      8         10.0
      8         11.0
      8          9.0
      8         11.0
      8         11.0
      8          9.0
      8         11.0
      8          9.0
      8         10.0
      8         11.0
      8          9.0
      8          9.0
      8         11.0
     12         13.5
     12         13.0
     12         14.0
     12         15.0
     12         11.0
     12         14.0
     12         14.0
     12         13.9
     12         17.0
     12         13.0
     12         14.0
     12         15.0
     12         11.0
     12         15.0
     12         14.0
     16         17.5
     16         13.9
     16         16.0
     16         18.0
     16         15.0
     16         15.0
     16         18.9
     16         13.0
     16         13.0
     16         17.0
     16         15.0
     16         18.9
     16         16.0
     16         13.0
     16         17.0
     20         19.5
     20         15.9
     20         19.0
     20         19.0
     20         19.0
     20         15.9
     20         16.0
     20         21.0
     20         19.0
     20         19.0
     20         17.9
     20         17.0
     20         18.0
     20         20.0
     20         16.0
     24         22.4
     24         23.0
     24         23.0
     24         22.0
     24         20.9
     24         21.0
     24         23.0
     24         24.0
     24         24.0
     24         23.7
     24         22.0
     24         23.0
     24         20.0
     24         21.0
     24         23.9
     28         24.9
     28         27.0
     28         25.0
     28         27.9
     28         26.0
     28         28.0
     28         27.0
     28         28.0
     28         25.9
     28         29.0
     28         25.0
     28         28.0
     28         26.9
     28         25.9
     28         26.0
     32         30.0
     32         32.0
     32         29.8
     32         30.9
     32         27.0
     32         29.9
     32         32.0
     32         28.0
     32         28.9
     32         35.0
     32         28.0
     32         28.0
     32         26.9
     32         29.0
     32         32.9
     36         32.6
     36         34.8
     36         31.0
     36         34.0
     36         36.0
     36         33.0
     36         29.9
     36         30.0
     36         32.0
     36         35.0
     36         31.0
     36         33.8
     36         35.0
     36         33.9
     36         31.0
     40         36.9
     40         33.6
     40         40.0
     40         38.0
     40         35.9
     40         35.8
     40         34.0
     40         37.0
     40         37.0
     40         38.0
     40         34.9
     40         37.9
     40         32.0
     40         35.0
     40         37.9
     44         37.1
     44         37.0
     44         38.0
     44         42.0
     44         41.8
     44         40.0
     44         43.0
     44         35.0
     44         40.0
     44         38.8
     44         37.0
     44         43.9
     44         41.0
     44         36.0
     44         37.8
     48         39.3
     48         45.0
     48         47.0
     48         42.7
     48         42.0
     48         35.9
     48         43.0
     48         46.0
     48         41.9
     48         42.0
     48         42.0
     48         45.0
     48         43.0
     48         44.8
     48         44.0
     52         47.6
     52         43.0
     52         47.8
     52         49.9
     52         45.0
     52         48.0
     52         47.0
     52         44.8
     52         45.0
     52         45.0
     52         48.9
     52         50.0
     52         42.8
     52         50.0
     52         47.9
     56         45.2
     56         47.8
     56         52.0
     56         49.9
     56         52.8
     56         49.0
     56         46.9
     56         50.0
     56         51.0
     56         44.9
     56         49.9
     56         49.8
     56         51.0
     56         50.0
     56         51.0
     60         49.6
     60         51.9
     60         52.9
     60         51.9
     60         58.0
     60         50.7
     60         49.0
     60         55.9
     60         59.0
     60         51.0
     60         50.9
     60         52.0
     60         56.0
     60         51.0
     60         53.0
     64         53.3
     64         55.0
     64         61.0
     64         55.0
     64         57.7
     64         54.0
     64         55.9
     64         51.9
     64         54.0
     64         52.2
     64         54.0
     64         58.0
     64         56.0
     64         50.0
     64         55.9
     68         59.0
     68         60.0
     68         56.8
     68         51.8
     68         61.0
     68         63.0
     68         55.0
     68         62.8
     68         46.9
     68         64.9
     68         55.0
     68         55.0
     68         53.6
     68         62.7
     68         51.0
     72         55.3
     72         62.0
     72         57.0
     72         60.9
     72         61.0
     72         52.0
     72         57.8
     72         55.0
     72         60.8
     72         55.0
     72         54.0
     72         57.9
     72         54.9
     72         57.9
     72         59.0
     76         58.9
     76         54.9
     76         56.0
     76         53.0
     76         57.0
     76         61.5
     76         59.8
     76         54.0
     76         55.0
     76         67.0
     76         53.7
     76         52.0
     76         65.0
     76         52.0
     76         57.0
     80         55.7
     80         59.8
     80         62.9
     80         56.0
     80         58.7
     80         57.0
     80         58.9
     80         54.8
     80         58.0
     80         62.7
     80         55.0
     80         59.0
     80         54.0
     80         57.0
     80         65.8
